symbol
AAPL
AMZN
XOM
WMT
TSLA
COST
HD
PG
BAC
CVX
WFC
MRK
UNH
JPM
V
JNJ
TMO
LIN
ABBV
INTC
PEP
CRM
C
DIS
TXN
ABT
T
VZ
NEE
SCHW
KO
ACN
QCOM
BLK
GE
ADI
LOW
PFE
MA
HON
CSCO
COF
UNP
ETN
DHR
IBM
DE
ORCL
MDT
COP
LMT
MCD
ADBE
PM
PLD
VRTX
CB
BMY
CMCSA
BX
SBUX
BA
MO
MCK
ICE
ADP
SO
TMUS
CVS
GS
DUK
MRSH
SPGI
NOC
PNC
SNPS
USB
WDC
MS
FCX
AMT
WM
WMB
MMM
SHW
CRH
GILD
EQIX
GM
UPS
TJX
REGN
AON
MDLZ
ELV
CI
CL
NKE
ECL
SLB
SYK
WBD
FDX
ITW
CSX
COR
MSI
TFC
TRV
PCAR
NSC
LHX
AJG
AEP
CTAS
AXP
APD
EOG
INTU
KMI
EMR
AMGN
BDX
PSX
SRE
O
VLO
ZTS
NXPI
BKR
F
DLR
MPC
AFL
ALL
PANW
PH
PGR
OKE
AMP
AME
CMG
CAH
CBRE
CTVA
D
FAST
GWW
CARR
PYPL
NOW
TGT
XEL
PSA
RSG
TT
CME
BSX
COIN
FITB
EXC
MET
NDAQ
MCO
MCHP
ETR
GD
DAL
DHI
PEG
NUE
TRGP
SYY
WAB
VMC
PRU
ROP
ED
CCI
CTSH
AIG
A
HIG
MLM
KR
IQV
KKR
KDP
KEYS
HBAN
GEHC
EQT
CPRT
SPG
WEC
STT
XYZ
UAL
XYL
PAYX
OXY
OTIS
PCG
GRMN
ACGL
DELL
ADM
FISV
KMB
MTB
KVUE
IR
EXR
ARES
BK
APO
DG
FANG
CDNS
STX
WTW
ODFL
ROST
RJF
PPL
VICI
TSCO
TDY
CFG
CVNA
DOV
DTE
CEG
EXE
ATO
ABNB
AEE
FIS
HAL
HSY
HPE
IRM
EL
NTRS
LDOS
HUBB
FE
GIS
ES
EIX
EW
EA
EFX
AWK
AVB
BIIB
GLW
CMI
CSGP
DVN
CNP
STLD
SYF
VLTO
WSM
PPG
OMC
ON
RF
PHM
LUV
JCI
SW
ROK
NVR
TROW
WDAY
WAT
YUM
URI
CHD
CHRW
CTRA
CMS
DRI
DLTR
CPAY
STZ
BR
BRO
AZO
ADSK
EQR
EXPD
HUM
LEN
LH
IP
NI
MSCI
NTAP
KEY
LULU
KHC
GPC
HPQ
FTNT
DD
ALB
DOW
CNC
CHTR
TSN
TPL
TTWO
AMCR
WY
PFG
PTC
PKG
Q
DGX
SNA
SBAC
TEL
PNR
APTV
BG
RMD
WST
ZBH
VTR
TER
TXT
TRMB
TYL
CDW
DECK
COO
LNT
ESS
EVRG
FTV
FICO
FFIV
GPN
HII
HOLX
LII
L
J
IFF
MKC
MAA
MRNA
MTD
MAS
NDSN
INVH
KIM
GDDY
IEX
JBHT
JKHY
IT
AKAM
AVY
AXON
BBY
BALL
DPZ
DXCM
CF
BLDR
CBOE
CLX
TTD
SMCI
VRSK
VTRS
GEN
LYB
EG
STE
IVZ
RVTY
PNW
REG
SOLV
SJM
UHS
ZBRA
SWK
UDR
CRL
CINF
CPT
BAX
TECH
AIZ
ALGN
AES
GNRC
GL
HST
HAS
DOC
EPAM
EBAY
LYV
JBL
NWSA
MOS
NRG
MTCH
MOH
TAP
ERIE
FRT
FDS
HRL
BEN
ARE
APA
BXP
WRB
CAG
HSIC
SWKS
AOS
POOL
PAYC
ALLE
NCLH
CPB
BF/B
FOXA
LW
MGM
NWS
FOX
DVA
PSKY
VSNT
