symbol
NVDA
MSFT
GOOGL
AAPL
GOOG
AVGO
META
AMZN
BRK/B
LLY
TSLA
JPM
MU
AMD
NFLX
PLTR
JNJ
CAT
V
MA
LRCX
RTX
AMAT
GEV
KLAC
ABBV
ISRG
APH
GS
GE
UBER
CSCO
BKNG
PM
IBM
ORCL
ANET
MS
WELL
APP
AXP
AMGN
KO
NEM
CRWD
MCD
GILD
BSX
TJX
HWM
BA
TDG
ORLY
RCL
INTU
SNDK
HOOD
HCA
DASH
SPGI
NOW
PANW
MAR
PGR
PWR
HLT
PH
CME
CEG
GLW
STX
MNST
MPWR
SYK
CMI
IDXX
BK
CDNS
VST
TT
JCI
GD
TEL
DDOG
FIX
AZO
KKR
MCO
IBKR
APO
ADSK
CCL
EBAY
EME
EXPE
FTNT
CVNA
ULTA
URI
ROST
ROK
TPR
SPG
MSCI
AXON
ABNB
FSLR
EW
EA
NRG
TER
RMD
YUM
VTR
VRSN
ROL
TTWO
PODD
JBL
LVS
VRSK
WDAY
DXCM
CINF
FICO
INCY
CBOE
WRB
STE
TKO
LYV
MTD
RL
WYNN
FOXA
FOX
ALLE
NCLH
