symbol,name,weight
MSFT,Microsoft Corp,6.4060
META,Meta Platforms Inc,3.6764
AMZN,Amazon.com Inc,3.6221
BRK/B,Berkshire Hathaway Inc,3.6095
JPM,JPMorgan Chase & Co,2.4837
CRM,Salesforce Inc,1.3938
WMT,Walmart Inc,1.2850
CSCO,Cisco Systems Inc,1.2731
BAC,Bank of America Corp,1.2102
NFLX,Netflix Inc,1.0983
CMCSA,Comcast Corp,1.0328
DIS,Walt Disney Co/The,1.0026
JNJ,Johnson & Johnson,0.9611
WFC,Wells Fargo & Co,0.9465
PG,Procter & Gamble Co/The,0.9439
VZ,Verizon Communications Inc,0.9336
NEE,NextEra Energy Inc,0.9109
HD,Home Depot Inc/The,0.8472
AVGO,Broadcom Inc,0.8426
RTX,Raytheon Technologies Corp,0.8420
NKE,NIKE Inc,0.8183
INTC,Intel Corp,0.8116
HON,Honeywell International Inc,0.7987
UPS,United Parcel Service Inc,0.7604
SPGI,S&P Global Inc,0.7548
IBM,International Business Machines Corp,0.7254
BA,Boeing Co/The,0.7217
PLD,Prologis Inc,0.7174
T,AT&T Inc,0.6996
GE,General Electric Co,0.6901
GS,Goldman Sachs Group Inc/The,0.6844
MS,Morgan Stanley,0.6666
ADBE,Adobe Inc,0.6326
BKNG,Booking Holdings Inc,0.6073
SYK,Stryker Corp,0.5798
AMD,Advanced Micro Devices Inc,0.5471
CVS,CVS Health Corp,0.5450
C,Citigroup Inc,0.5356
ABT,Abbott Laboratories,0.5326
KO,Coca-Cola Co/The,0.5070
MCD,McDonald's Corp,0.4951
COST,Costco Wholesale Corp,0.4815
ZTS,Zoetis Inc,0.4741
SO,Southern Co/The,0.4737
MU,Micron Technology Inc,0.4644
PYPL,PayPal Holdings Inc,0.4376
EQIX,Equinix Inc,0.4305
DUK,Duke Energy Corp,0.4289
BDX,Becton Dickinson & Co,0.4282
ORCL,Oracle Corp,0.4165
CME,CME Group Inc,0.4011
PM,Philip Morris International Inc,0.4005
TGT,Target Corp,0.3761
ICE,Intercontinental Exchange Inc,0.3694
UNP,Union Pacific Corp,0.3675
TXN,Texas Instruments Inc,0.3637
INTU,Intuit Inc,0.3453
ISRG,Intuitive Surgical Inc,0.3433
SBUX,Starbucks Corp,0.3431
SHW,Sherwin-Williams Co/The,0.3352
EW,Edwards Lifesciences Corp,0.3250
MMM,3M Co,0.3206
FDX,FedEx Corp,0.3158
CCI,Crown Castle Inc,0.3059
ROP,Roper Technologies Inc,0.3005
AXP,American Express Co,0.3004
ADI,Analog Devices Inc,0.2979
NSC,Norfolk Southern Corp,0.2959
F,Ford Motor Co,0.2932
PNC,PNC Financial Services Group Inc/The,0.2898
MDLZ,Mondelez International Inc,0.2873
GM,General Motors Co,0.2821
CAT,Caterpillar Inc,0.2673
AEP,American Electric Power Co Inc,0.2665
PSX,Phillips 66,0.2664
EL,Estee Lauder Cos Inc/The,0.2661
D,Dominion Energy Inc,0.2614
USB,US Bancorp,0.2599
VLO,Valero Energy Corp,0.2575
PH,Parker-Hannifin Corp,0.2565
ECL,Ecolab Inc,0.2553
TFC,Truist Financial Corp,0.2523
AMT,American Tower Corp,0.2519
COF,Capital One Financial Corp,0.2481
EXC,Exelon Corp,0.2459
AIG,American International Group Inc,0.2450
MO,Altria Group Inc,0.2375
LOW,Lowe's Cos Inc,0.2353
CI,Cigna Group/The,0.2352
O,Realty Income Corp,0.2325
AFL,Aflac Inc,0.2243
PCAR,PACCAR Inc,0.2240
XEL,Xcel Energy Inc,0.2229
ROST,Ross Stores Inc,0.2227
SYY,Sysco Corp,0.2216
WELL,Welltower Inc,0.2200
BSX,Boston Scientific Corp,0.2163
DOW,Dow Inc,0.2147
SPG,Simon Property Group Inc,0.2146
CNC,Centene Corp,0.2145
CHTR,Charter Communications Inc,0.2144
CARR,Carrier Global Corp,0.2130
CSX,CSX Corp,0.2092
ED,Consolidated Edison Inc,0.2065
OTIS,Otis Worldwide Corp,0.2058
SCHW,Charles Schwab Corp/The,0.2056
MET,MetLife Inc,0.2038
FIS,Fidelity National Information Services Inc,0.2021
NEM,Newmont Corp,0.2009
ROK,Rockwell Automation Inc,0.1995
TJX,TJX Cos Inc/The,0.1993
KMI,Kinder Morgan Inc,0.1989
CTSH,Cognizant Technology Solutions Corp,0.1985
EMR,Emerson Electric Co,0.1940
ILMN,Illumina Inc,0.1931
PPG,PPG Industries Inc,0.1926
MRSH,Marsh & McLennan Cos Inc,0.1925
DD,DuPont de Nemours Inc,0.1921
KHC,Kraft Heinz Co/The,0.1898
PEG,Public Service Enterprise Group Inc,0.1860
ITW,Illinois Tool Works Inc,0.1856
BK,Bank of New York Mellon Corp/The,0.1846
KR,Kroger Co/The,0.1842
