symbol,name,weight
MSFT,Microsoft Corp.,8.3038
AMZN,Amazon.com Inc.,5.3752
META,Facebook Inc.,3.4850
GOOG, Alphabet Inc.,2.8328
GOOGL, Alphabet Inc.,2.8065
V,Visa Inc.,2.2892
MA,Mastercard Inc.,1.8743
VZ,Verizon Communications Inc.,1.7899
MRK,Merck & Co. Inc.,1.6036
JNJ,Johnson & Johnson,1.5381
PFE,Pfizer Inc.,1.5306
BRK/B,Berkshire Hathaway Inc.,1.4897
BA,Boeing Co.,1.4064
CSCO,Cisco Systems Inc.,1.3819
INTC,Intel Corp.,1.2378
PG,Procter & Gamble Co.,1.2291
XOM,Exxon Mobil Corp.,1.1596
DIS,Walt Disney Co.,1.0986
ABT,Abbott Laboratories,1.0850
ADBE,Adobe Inc.,1.0795
MCD,McDonald's Corp.,1.0612
CRM,salesforce.com Inc.,1.0262
NFLX,Netflix Inc.,0.9897
PYPL,PayPal Holdings Inc.,0.9130
AVGO,Broadcom Inc.,0.9043
TMO,Thermo Fisher Scientific Inc.,0.9034
UNP,Union Pacific Corp.,0.8908
PEP,PepsiCo Inc.,0.8323
NEE,NextEra Energy Inc.,0.8210
HD,Home Depot Inc.,0.7980
KO,Coca-Cola Co.,0.7678
LLY,Eli Lilly & Co.,0.7162
AMT,American Tower Corp.,0.6808
AMGN,Amgen Inc.,0.6674
CMCSA,Comcast Corp.,0.6618
USB,US Bancorp,0.6184
FIS,Fidelity National Information Services Inc.,0.6088
ADP,Automatic Data Processing Inc.,0.5323
TXN,Texas Instruments Inc.,0.5322
TJX,TJX Cos. Inc.,0.5308
NVDA,NVIDIA Corp.,0.5026
ISRG,Intuitive Surgical Inc.,0.4907
ABBV,AbbVie Inc.,0.4845
INTU,Intuit Inc.,0.4837
COP,ConocoPhillips,0.4779
FISV,Fiserv Inc.,0.4767
PM,Philip Morris International Inc.,0.4727
SPGI,S&P Global Inc.,0.4682
HON,Honeywell International Inc.,0.4614
ORCL,Oracle Corp.,0.4440
BSX,Boston Scientific Corp.,0.4328
NKE,NIKE Inc.,0.4288
LMT,Lockheed Martin Corp.,0.4190
CSX,CSX Corp.,0.4101
VRTX,Vertex Pharmaceuticals Inc.,0.4095
GPN,Global Payments Inc.,0.3904
ICE,Intercontinental Exchange Inc.,0.3792
DHR,Danaher Corp.,0.3749
SBUX,Starbucks Corp.,0.3747
APD,Air Products & Chemicals Inc.,0.3740
EW,Edwards Lifesciences Corp.,0.3660
MMM,3M Co.,0.3578
QCOM,QUALCOMM Inc.,0.3566
BMY,Bristol-Myers Squibb Co.,0.3530
ILMN,Illumina Inc.,0.3387
ECL,Ecolab Inc.,0.3358
HUM,Humana Inc.,0.3310
WM,Waste Management Inc.,0.3165
BDX,Becton Dickinson and Co.,0.3158
CI,Cigna Corp.,0.3091
AMD,Advanced Micro Devices Inc.,0.3052
UPS,United Parcel Service Inc.,0.3003
LOW,Lowe's Cos. Inc.,0.2992
AXP,American Express Co.,0.2935
DG,Dollar General Corp.,0.2906
ADSK,Autodesk Inc.,0.2853
BKNG,Booking Holdings Inc.,0.2787
SYK,Stryker Corp.,0.2786
ROP,Roper Technologies Inc.,0.2692
HCA,HCA Healthcare Inc.,0.2648
NSC,Norfolk Southern Corp.,0.2526
OXY,Occidental Petroleum Corp.,0.2478
MRSH,Marsh & McLennan Cos. Inc.,0.2476
WELL,Welltower Inc.,0.2461
NOW,ServiceNow Inc.,0.2434
ORLY,O'Reilly Automotive Inc.,0.2429
CL,Colgate-Palmolive Co.,0.2383
CHTR,Charter Communications Inc.,0.2345
D,Dominion Energy Inc.,0.2305
ZTS,Zoetis Inc.,0.2273
PSA,Public Storage,0.2272
SPG,Simon Property Group Inc.,0.2241
STZ,Constellation Brands Inc.,0.2235
YUM,Yum! Brands Inc.,0.2200
HLT,Hilton Worldwide Holdings Inc.,0.2163
SCHW,Charles Schwab Corp.,0.2150
BIIB,Biogen Inc.,0.2143
