symbol,name,weight
AAPL,Apple Inc,14.8155
MSFT,Microsoft Corp,11.9842
AMZN,Amazon.com Inc,6.7976
TSLA,Tesla Inc,4.2520
GOOGL,Alphabet Inc,3.9725
GOOG,Alphabet Inc,3.7068
NVDA,NVIDIA Corp,2.3161
META,Meta Platforms Inc,2.2901
LLY,Eli Lilly & Co,1.4559
HD,Home Depot Inc/The,1.3883
TMO,Thermo Fisher Scientific Inc,1.3083
UNH,UnitedHealth Group Inc,1.2541
ADBE,Adobe Inc,1.0813
JPM,JPMorgan Chase & Co,0.9417
QCOM,QUALCOMM Inc,0.9079
V,Visa Inc,0.8618
AMD,Advanced Micro Devices Inc,0.8429
PFE,Pfizer Inc,0.8398
MA,Mastercard Inc,0.8024
LOW,Lowe's Cos Inc,0.7868
ABBV,AbbVie Inc,0.7863
INTU,Intuit Inc,0.7484
DHR,Danaher Corp,0.7277
COST,Costco Wholesale Corp,0.7233
ORCL,Oracle Corp,0.7153
AVGO,Broadcom Inc,0.7119
GS,Goldman Sachs Group Inc/The,0.7007
BAC,Bank of America Corp,0.6426
PEP,PepsiCo Inc,0.6131
NFLX,Netflix Inc,0.6087
ABT,Abbott Laboratories,0.5838
CRM,Salesforce Inc,0.5798
NOW,ServiceNow Inc,0.5338
MCD,McDonald's Corp,0.5146
CSCO,Cisco Systems Inc,0.5124
AMAT,Applied Materials Inc,0.5093
TXN,Texas Instruments Inc,0.4575
SPGI,S&P Global Inc,0.4570
NKE,NIKE Inc,0.4470
SCHW,Charles Schwab Corp/The,0.4459
REGN,Regeneron Pharmaceuticals Inc,0.3846
UPS,United Parcel Service Inc,0.3764
AMT,American Tower Corp,0.3689
MS,Morgan Stanley,0.3581
PYPL,PayPal Holdings Inc,0.3581
UNP,Union Pacific Corp,0.3543
PLD,Prologis Inc,0.3445
ADP,Automatic Data Processing Inc,0.3316
AMGN,Amgen Inc,0.3227
KLAC,KLA Corp,0.3148
ISRG,Intuitive Surgical Inc,0.3123
MRSH,Marsh & McLennan Cos Inc,0.3028
SBUX,Starbucks Corp,0.3013
ZTS,Zoetis Inc,0.2980
CDNS,Cadence Design Systems Inc,0.2936
DE,Deere & Co,0.2875
ORLY,O'Reilly Automotive Inc,0.2808
MRNA,Moderna Inc,0.2805
DVN,Devon Energy Corp,0.2657
VRTX,Vertex Pharmaceuticals Inc,0.2649
AZO,AutoZone Inc,0.2577
AXP,American Express Co,0.2500
TGT,Target Corp,0.2500
ENPH,Enphase Energy Inc,0.2370
MSCI,MSCI Inc,0.2234
SNPS,Synopsys Inc,0.2177
EW,Edwards Lifesciences Corp,0.2163
EL,Estee Lauder Cos Inc/The,0.2131
CCI,Crown Castle Inc,0.2040
WM,Waste Management Inc,0.2018
EOG,EOG Resources Inc,0.2003
DXCM,Dexcom Inc,0.1977
ICE,Intercontinental Exchange Inc,0.1967
MCO,Moody's Corp,0.1847
CMG,Chipotle Mexican Grill Inc,0.1836
PSA,Public Storage,0.1826
SHW,Sherwin-Williams Co/The,0.1804
IQV,IQVIA Holdings Inc,0.1801
SYK,Stryker Corp,0.1735
ADSK,Autodesk Inc,0.1721
EQIX,Equinix Inc,0.1687
FRCB,First Republic Bank/CA,0.1670
EXR,Extra Space Storage Inc,0.1635
HCA,HCA Healthcare Inc,0.1601
OXY,Occidental Petroleum Corp,0.1588
ODFL,Old Dominion Freight Line Inc,0.1527
EPAM,EPAM Systems Inc,0.1493
FTNT,Fortinet Inc,0.1490
MSI,Motorola Solutions Inc,0.1472
APH,Amphenol Corp,0.1425
EFX,Equifax Inc,0.1415
A,Agilent Technologies Inc,0.1415
IT,Gartner Inc,0.1409
FANG,Diamondback Energy Inc,0.1396
ITW,Illinois Tool Works Inc,0.1388
ON,ON Semiconductor Corp,0.1379
KEYS,Keysight Technologies Inc,0.1371
WST,West Pharmaceutical Services Inc,0.1346
ALB,Albemarle Corp,0.1307
PAYX,Paychex Inc,0.1287
TSCO,Tractor Supply Co,0.1270
IDXX,IDEXX Laboratories Inc,0.1235
SPG,Simon Property Group Inc,0.1231
COF,Capital One Financial Corp,0.1224
MPWR,Monolithic Power Systems Inc,0.1218
SBAC,SBA Communications Corp,0.1204
NUE,Nucor Corp,0.1171
TROW,T Rowe Price Group Inc,0.1170
EBAY,eBay Inc,0.1167
FCX,Freeport-McMoRan Inc,0.1157
RMD,ResMed Inc,0.1143
