symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.1705
JNJ,Johnson & Johnson,2.5893
XOM,Exxon Mobil Corp,2.2269
PG,Procter & Gamble Co/The,1.9422
CVX,Chevron Corp,1.8448
UNH,UnitedHealth Group Inc,1.4869
KO,Coca-Cola Co/The,1.3500
MRK,Merck & Co Inc,1.2736
VZ,Verizon Communications Inc,1.1796
JPM,JPMorgan Chase & Co,1.1562
DIS,Walt Disney Co/The,1.1015
V,Visa Inc,1.0988
CMCSA,Comcast Corp,1.0974
WMT,Walmart Inc,0.9971
INTC,Intel Corp,0.9909
WFC,Wells Fargo & Co,0.9745
PM,Philip Morris International Inc,0.9023
BMY,Bristol-Myers Squibb Co,0.9009
MA,Mastercard Inc,0.8969
T,AT&T Inc,0.8330
NEE,NextEra Energy Inc,0.8137
BAC,Bank of America Corp,0.8115
COP,ConocoPhillips,0.8019
RTX,Raytheon Technologies Corp,0.7777
PFE,Pfizer Inc,0.7504
PEP,PepsiCo Inc,0.7375
HON,Honeywell International Inc,0.7276
CVS,CVS Health Corp,0.6958
ELV,Anthem Inc,0.6777
ABBV,AbbVie Inc,0.6567
CAT,Caterpillar Inc,0.6400
LMT,Lockheed Martin Corp,0.5844
C,Citigroup Inc,0.5805
CSCO,Cisco Systems Inc,0.5724
MCD,McDonald's Corp,0.5677
AVGO,Broadcom Inc,0.5641
COST,Costco Wholesale Corp,0.5552
IBM,International Business Machines Corp,0.5458
MO,Altria Group Inc,0.5400
ABT,Abbott Laboratories,0.5349
BKNG,Booking Holdings Inc,0.5047
ADI,Analog Devices Inc,0.4848
MDLZ,Mondelez International Inc,0.4837
CI,Cigna Corp,0.4745
DUK,Duke Energy Corp,0.4744
GE,General Electric Co,0.4715
AMGN,Amgen Inc,0.4676
MMM,3M Co,0.4669
TXN,Texas Instruments Inc,0.4561
MU,Micron Technology Inc,0.4531
UNP,Union Pacific Corp,0.4527
GILD,Gilead Sciences Inc,0.4458
SO,Southern Co/The,0.4396
TMUS,T-Mobile US Inc,0.4289
