symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.1679
JPM,JPMorgan Chase & Co,2.8769
DIS,Walt Disney Co/The,1.8617
BAC,Bank of America Corp,1.8486
JNJ,Johnson & Johnson,1.5323
XOM,Exxon Mobil Corp,1.4186
VZ,Verizon Communications Inc,1.3418
INTC,Intel Corp,1.3323
CSCO,Cisco Systems Inc/Delaware,1.2821
PFE,Pfizer Inc,1.2401
T,AT&T Inc,1.2047
CVX,Chevron Corp,1.1505
WFC,Wells Fargo & Co,1.1088
UNH,UnitedHealth Group Inc,1.0730
PG,Procter & Gamble Co/The,0.9910
WMT,Walmart Inc,0.9605
C,Citigroup Inc,0.9431
HON,Honeywell International Inc,0.9219
V,Visa Inc,0.8852
PM,Philip Morris International Inc,0.8621
CMCSA,Comcast Corp,0.8427
KO,Coca-Cola Co/The,0.8001
MS,Morgan Stanley,0.7835
BA,Boeing Co/The,0.7780
RTX,Raytheon Technologies Corp,0.7737
IBM,International Business Machines Corp,0.7373
GS,Goldman Sachs Group Inc/The,0.7349
PEP,PepsiCo Inc,0.6794
MMM,3M Co,0.6749
CVS,CVS Health Corp,0.6507
SCHW,Charles Schwab Corp/The,0.6345
MCD,McDonald's Corp,0.6006
AXP,American Express Co,0.5998
MA,Mastercard Inc,0.5808
MRK,Merck & Co Inc,0.5732
ELV,Anthem Inc,0.5599
HD,Home Depot Inc/The,0.5518
MU,Micron Technology Inc,0.5404
FIS,Fidelity National Information Services Inc,0.5313
MO,Altria Group Inc,0.5252
CI,Cigna Corp,0.5228
MDLZ,Mondelez International Inc,0.5149
PLD,Prologis Inc,0.5002
ABT,Abbott Laboratories,0.4863
TFC,Truist Financial Corp,0.4778
GILD,Gilead Sciences Inc,0.4770
USB,US Bancorp,0.4769
PNC,PNC Financial Services Group Inc/The,0.4738
TXN,Texas Instruments Inc,0.4713
NEE,NextEra Energy Inc,0.4696
TJX,TJX Cos Inc/The,0.4655
COST,Costco Wholesale Corp,0.4517
CME,CME Group Inc,0.4509
UNP,Union Pacific Corp,0.4494
DUK,Duke Energy Corp,0.4421
COP,ConocoPhillips,0.4336
GM,General Motors Co,0.4318
COF,Capital One Financial Corp,0.4239
BMY,Bristol-Myers Squibb Co,0.4058
BDX,Becton Dickinson and Co,0.4035
CAT,Caterpillar Inc,0.4000
AMGN,Amgen Inc,0.3945
SO,Southern Co/The,0.3876
ORCL,Oracle Corp,0.3773
NKE,NIKE Inc,0.3585
LLY,Eli Lilly & Co,0.3558
AVGO,Broadcom Inc,0.3542
D,Dominion Energy Inc,0.3520
BSX,Boston Scientific Corp,0.3462
BKNG,Booking Holdings Inc,0.3441
GPN,Global Payments Inc,0.3284
HCA,HCA Healthcare Inc,0.3270
AMT,American Tower Corp,0.3260
F,Ford Motor Co,0.3260
NOC,Northrop Grumman Corp,0.3255
SBUX,Starbucks Corp,0.3233
ABBV,AbbVie Inc,0.2984
DHR,Danaher Corp,0.2982
LMT,Lockheed Martin Corp,0.2921
MET,MetLife Inc,0.2820
EOG,EOG Resources Inc,0.2692
