symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.0037
JPM,JPMorgan Chase & Co,2.7795
BAC,Bank of America Corp,1.9286
PFE,Pfizer Inc,1.7644
DIS,Walt Disney Co/The,1.5422
XOM,Exxon Mobil Corp,1.4837
JNJ,Johnson & Johnson,1.4424
CSCO,Cisco Systems Inc/Delaware,1.3535
CVX,Chevron Corp,1.2783
VZ,Verizon Communications Inc,1.2189
UNH,UnitedHealth Group Inc,1.1774
WMT,Walmart Inc,1.1769
INTC,Intel Corp,1.1690
WFC,Wells Fargo & Co,1.1491
PG,Procter & Gamble Co/The,1.0685
T,AT&T Inc,0.9547
HON,Honeywell International Inc,0.8178
MS,Morgan Stanley,0.8107
PM,Philip Morris International Inc,0.7845
KO,Coca-Cola Co/The,0.7756
V,Visa Inc,0.7662
C,Citigroup Inc,0.7561
GS,Goldman Sachs Group Inc/The,0.7522
CMCSA,Comcast Corp,0.7509
PEP,PepsiCo Inc,0.7500
RTX,Raytheon Technologies Corp,0.7146
HD,Home Depot Inc/The,0.6983
CVS,CVS Health Corp,0.6882
SCHW,Charles Schwab Corp/The,0.6805
COST,Costco Wholesale Corp,0.6563
PLD,Prologis Inc,0.6528
MCD,McDonald's Corp,0.6419
BA,Boeing Co/The,0.6386
GE,General Electric Co,0.6108
ELV,Anthem Inc,0.5801
MRK,Merck & Co Inc,0.5775
MMM,3M Co,0.5763
AXP,American Express Co,0.5740
NEE,NextEra Energy Inc,0.5683
MU,Micron Technology Inc,0.5539
COP,ConocoPhillips,0.5500
ABT,Abbott Laboratories,0.5354
MA,Mastercard Inc,0.5142
GILD,Gilead Sciences Inc,0.5062
GM,General Motors Co,0.4920
PNC,PNC Financial Services Group Inc/The,0.4904
TJX,TJX Cos Inc/The,0.4903
TXN,Texas Instruments Inc,0.4889
MDLZ,Mondelez International Inc,0.4825
IBM,International Business Machines Corp,0.4689
UNP,Union Pacific Corp,0.4678
CME,CME Group Inc,0.4638
TFC,Truist Financial Corp,0.4638
MO,Altria Group Inc,0.4606
NKE,NIKE Inc,0.4560
LLY,Eli Lilly & Co,0.4499
F,Ford Motor Co,0.4410
USB,US Bancorp,0.4373
DUK,Duke Energy Corp,0.4369
AVGO,Broadcom Inc,0.4257
BDX,Becton Dickinson and Co,0.3989
ORCL,Oracle Corp,0.3940
DHR,Danaher Corp,0.3831
CI,Cigna Corp,0.3822
SO,Southern Co/The,0.3787
FIS,Fidelity National Information Services Inc,0.3781
COF,Capital One Financial Corp,0.3672
AMT,American Tower Corp,0.3429
D,Dominion Energy Inc,0.3371
BMY,Bristol-Myers Squibb Co,0.3351
AMGN,Amgen Inc,0.3308
CAT,Caterpillar Inc,0.3287
HCA,HCA Healthcare Inc,0.3257
ADI,Analog Devices Inc,0.3238
SBUX,Starbucks Corp,0.3180
BSX,Boston Scientific Corp,0.3175
BKNG,Booking Holdings Inc,0.3133
ABBV,AbbVie Inc,0.3103
NOC,Northrop Grumman Corp,0.3074
MRNA,Moderna Inc,0.3041
EXC,Exelon Corp,0.3019
ADP,Automatic Data Processing Inc,0.2975
EOG,EOG Resources Inc,0.2975
SPG,Simon Property Group Inc,0.2943
LOW,Lowe's Cos Inc,0.2936
DLR,Digital Realty Trust Inc,0.2778
AIG,American International Group Inc,0.2635
LMT,Lockheed Martin Corp,0.2599
GD,General Dynamics Corp,0.2568
BK,Bank of New York Mellon Corp/The,0.2549
UPS,United Parcel Service Inc,0.2539
MET,MetLife Inc,0.2503
MRSH,Marsh & McLennan Cos Inc,0.2483
HPQ,HP Inc,0.2479
CNC,Centene Corp,0.2439
TGT,Target Corp,0.2404
AEP,American Electric Power Co Inc,0.2376
SYK,Stryker Corp,0.2374
MAR,Marriott International Inc/MD,0.2365
SLB,Schlumberger NV,0.2350
PRU,Prudential Financial Inc,0.2317
ROST,Ross Stores Inc,0.2283
MPC,Marathon Petroleum Corp,0.2276
DD,DuPont de Nemours Inc,0.2267
SRE,Sempra Energy,0.2243
WM,Waste Management Inc,0.2225
STZ,Constellation Brands Inc,0.2218
CSX,CSX Corp,0.2199
GIS,General Mills Inc,0.2195
O,Realty Income Corp,0.2194
BAX,Baxter International Inc,0.2185
ITW,Illinois Tool Works Inc,0.2181
TRV,Travelers Cos Inc/The,0.2148
PPG,PPG Industries Inc,0.2145
NSC,Norfolk Southern Corp,0.2112
SYY,Sysco Corp,0.2100
IFF,International Flavors & Fragrances Inc,0.2076
GPN,Global Payments Inc,0.2045
ADM,Archer-Daniels-Midland Co,0.2040
ISRG,Intuitive Surgical Inc,0.2030
APD,Air Products and Chemicals Inc,0.2015
XEL,Xcel Energy Inc,0.2008
EL,Estee Lauder Cos Inc/The,0.1987
ICE,Intercontinental Exchange Inc,0.1981
WELL,Welltower Inc,0.1968
MCK,McKesson Corp,0.1961
AFL,Aflac Inc,0.1954
AVB,AvalonBay Communities Inc,0.1951
CTVA,Corteva Inc,0.1933
AMP,Ameriprise Financial Inc,0.1928
WMB,Williams Cos Inc/The,0.1904
STT,State Street Corp,0.1903
ALL,Allstate Corp/The,0.1880
CBRE,CBRE Group Inc,0.1878
PEG,Public Service Enterprise Group Inc,0.1849
EMR,Emerson Electric Co,0.1843
CCI,Crown Castle International Corp,0.1838
NUE,Nucor Corp,0.1826
DLTR,Dollar Tree Inc,0.1819
EQIX,Equinix Inc,0.1795
CL,Colgate-Palmolive Co,0.1778
PSX,Phillips 66,0.1773
KMI,Kinder Morgan Inc,0.1764
