symbol,name,weight
BRK/B,Berkshire Hathaway Inc,4.0299
JPM,JPMorgan Chase & Co,3.2362
XOM,Exxon Mobil Corp,2.3870
WMT,Walmart Inc,1.8301
JNJ,Johnson & Johnson,1.6995
UNH,UnitedHealth Group Inc,1.5913
BAC,Bank of America Corp,1.4610
CVX,Chevron Corp,1.2546
HD,Home Depot Inc/The,1.2215
WFC,Wells Fargo & Co,1.1810
PG,Procter & Gamble Co/The,1.1725
COST,Costco Wholesale Corp,1.1386
CSCO,Cisco Systems Inc,1.0868
DIS,Walt Disney Co/The,0.9705
IBM,International Business Machines Corp,0.9542
ABT,Abbott Laboratories,0.9413
ABBV,AbbVie Inc,0.9272
GS,Goldman Sachs Group Inc/The,0.8755
VZ,Verizon Communications Inc,0.8502
V,Visa Inc,0.8150
CMCSA,Comcast Corp,0.7602
T,AT&T Inc,0.7563
MS,Morgan Stanley,0.7469
RTX,RTX Corp,0.7382
NEE,NextEra Energy Inc,0.7363
LOW,Lowe's Cos Inc,0.7069
MRK,Merck & Co Inc,0.7041
DHR,Danaher Corp,0.7020
AMGN,Amgen Inc,0.6923
HON,Honeywell International Inc,0.6907
KO,Coca-Cola Co/The,0.6906
PFE,Pfizer Inc,0.6765
PEP,PepsiCo Inc,0.6545
BLK,BlackRock Funding Inc/DE,0.6488
C,Citigroup Inc,0.6161
PM,Philip Morris International Inc,0.5938
TMO,Thermo Fisher Scientific Inc,0.5717
SCHW,Charles Schwab Corp/The,0.5634
MA,Mastercard Inc,0.5610
TMUS,T-Mobile US Inc,0.5514
BMY,Bristol-Myers Squibb Co,0.5471
MCD,McDonald's Corp,0.5418
TXN,Texas Instruments Inc,0.5273
GILD,Gilead Sciences Inc,0.5253
GE,General Electric Co,0.5126
LMT,Lockheed Martin Corp,0.5113
MU,Micron Technology Inc,0.4950
PLD,Prologis Inc,0.4924
INTC,Intel Corp,0.4672
UPS,United Parcel Service Inc,0.4530
MO,Altria Group Inc,0.4486
SO,Southern Co/The,0.4440
CI,Cigna Group/The,0.4300
ELV,Elevance Health Inc,0.4297
SPGI,S&P Global Inc,0.4267
ICE,Intercontinental Exchange Inc,0.4209
DUK,Duke Energy Corp,0.4118
PYPL,PayPal Holdings Inc,0.4042
PNC,PNC Financial Services Group Inc/The,0.3889
QCOM,QUALCOMM Inc,0.3859
USB,US Bancorp,0.3789
CAT,Caterpillar Inc,0.3769
UNP,Union Pacific Corp,0.3737
MCK,McKesson Corp,0.3712
WELL,Welltower Inc,0.3642
PGR,Progressive Corp/The,0.3587
ADP,Automatic Data Processing Inc,0.3477
CVS,CVS Health Corp,0.3430
APD,Air Products and Chemicals Inc,0.3387
MMM,3M Co,0.3342
GD,General Dynamics Corp,0.3338
COF,Capital One Financial Corp,0.3338
FDX,FedEx Corp,0.3110
NOC,Northrop Grumman Corp,0.3067
ISRG,Intuitive Surgical Inc,0.2978
BDX,Becton Dickinson & Co,0.2921
TFC,Truist Financial Corp,0.2911
BA,Boeing Co/The,0.2898
GM,General Motors Co,0.2847
SLB,Schlumberger NV,0.2844
NSC,Norfolk Southern Corp,0.2843
TGT,Target Corp,0.2788
FISV,Fiserv Inc,0.2783
TRV,Travelers Cos Inc/The,0.2763
