symbol,name,weight
AAPL,Apple Inc,8.4058
MSFT,Microsoft Corp,6.6032
AMZN,Amazon.com Inc,3.5759
JNJ,Johnson & Johnson,1.8746
XOM,Exxon Mobil Corp,1.8589
BRK/B,Berkshire Hathaway Inc,1.8074
JPM,JPMorgan Chase & Co,1.3925
BAC,Bank of America Corp,1.3752
AMD,Advanced Micro Devices Inc,1.3279
PG,Procter & Gamble Co/The,1.3054
CSCO,Cisco Systems Inc,1.1461
UNH,UnitedHealth Group Inc,1.1235
CVX,Chevron Corp,1.0940
KO,Coca-Cola Co/The,1.0653
WFC,Wells Fargo & Co,1.0345
MU,Micron Technology Inc,0.9955
MRK,Merck & Co Inc,0.9850
GS,Goldman Sachs Group Inc/The,0.9405
ABBV,AbbVie Inc,0.8776
ABT,Abbott Laboratories,0.8440
TMO,Thermo Fisher Scientific Inc,0.8393
MCD,McDonald's Corp,0.8370
PEP,PepsiCo Inc,0.7659
HD,Home Depot Inc/The,0.7480
LRCX,Lam Research Corp,0.7428
C,Citigroup Inc,0.7174
DIS,Walt Disney Co/The,0.7066
GE,General Electric Co,0.7024
T,AT&T Inc,0.6999
QCOM,QUALCOMM Inc,0.6820
INTC,Intel Corp,0.6678
VZ,Verizon Communications Inc,0.6520
WMT,Walmart Inc,0.6020
SCHW,Charles Schwab Corp/The,0.5951
GILD,Gilead Sciences Inc,0.5874
TXN,Texas Instruments Inc,0.5755
BLK,BlackRock Funding Inc/DE,0.5673
PFE,Pfizer Inc,0.5506
DHR,Danaher Corp,0.5437
BA,Boeing Co/The,0.5376
COF,Capital One Financial Corp,0.5269
UNP,Union Pacific Corp,0.5172
LOW,Lowe's Cos Inc,0.5112
ADI,Analog Devices Inc,0.4954
HON,Honeywell International Inc,0.4590
PLD,Prologis Inc,0.4487
AMAT,Applied Materials Inc,0.4417
MS,Morgan Stanley,0.4258
PM,Philip Morris International Inc,0.4241
COP,ConocoPhillips,0.4166
MCK,McKesson Corp,0.4123
BX,Blackstone Inc,0.4059
AMGN,Amgen Inc,0.3988
CVS,CVS Health Corp,0.3834
CME,CME Group Inc,0.3815
RTX,RTX Corp,0.3787
SO,Southern Co/The,0.3770
BMY,Bristol-Myers Squibb Co,0.3767
NEM,Newmont Corp,0.3749
SBUX,Starbucks Corp,0.3724
CMCSA,Comcast Corp,0.3698
DUK,Duke Energy Corp,0.3624
LMT,Lockheed Martin Corp,0.3538
MMM,3M Co,0.3447
GD,General Dynamics Corp,0.3244
AMT,American Tower Corp,0.3192
SPGI,S&P Global Inc,0.3107
REGN,Regeneron Pharmaceuticals Inc,0.2990
ADBE,Adobe Inc,0.2962
NOC,Northrop Grumman Corp,0.2897
NKE,NIKE Inc,0.2888
USB,US Bancorp,0.2871
ELV,Elevance Health Inc,0.2865
PNC,PNC Financial Services Group Inc/The,0.2825
MDLZ,Mondelez International Inc,0.2801
CI,Cigna Group/The,0.2784
COR,Cencora Inc,0.2690
UPS,United Parcel Service Inc,0.2652
GM,General Motors Co,0.2632
TJX,TJX Cos Inc/The,0.2613
AEP,American Electric Power Co Inc,0.2489
TRV,Travelers Cos Inc/The,0.2480
GLW,Corning Inc,0.2469
DE,Deere & Co,0.2464
NSC,Norfolk Southern Corp,0.2464
WELL,Welltower Inc,0.2409
SRE,Sempra,0.2324
FCX,Freeport-McMoRan Inc,0.2320
IDXX,IDEXX Laboratories Inc,0.2265
SYK,Stryker Corp,0.2258
TFC,Truist Financial Corp,0.2255
FDX,FedEx Corp,0.2252
WBD,Warner Bros Discovery Inc,0.2234
MPC,Marathon Petroleum Corp,0.2217
EOG,EOG Resources Inc,0.2214
NEE,NextEra Energy Inc,0.2205
APD,Air Products and Chemicals Inc,0.2186
ROST,Ross Stores Inc,0.2169
ZTS,Zoetis Inc,0.2137
WDC,Western Digital Corp,0.2130
ALL,Allstate Corp/The,0.2110
BDX,Becton Dickinson & Co,0.2092
PSX,Phillips 66,0.2084
VLO,Valero Energy Corp,0.2067
SLB,SLB Ltd,0.2032
MO,Altria Group Inc,0.2015
D,Dominion Energy Inc,0.2014
KMI,Kinder Morgan Inc,0.2011
AFL,Aflac Inc,0.1997
O,Realty Income Corp,0.1981
LHX,L3Harris Technologies Inc,0.1963
F,Ford Motor Co,0.1952
DLR,Digital Realty Trust Inc,0.1930
EW,Edwards Lifesciences Corp,0.1913
CAH,Cardinal Health Inc,0.1908
MRSH,Marsh & McLennan Cos Inc,0.1899
BKR,Baker Hughes Co,0.1863
XEL,Xcel Energy Inc,0.1828
ROP,Roper Technologies Inc,0.1807
TMUS,T-Mobile US Inc,0.1790
EXC,Exelon Corp,0.1789
KKR,KKR & Co Inc,0.1769
CTVA,Corteva Inc,0.1723
ROK,Rockwell Automation Inc,0.1676
ADP,Automatic Data Processing Inc,0.1674
DHI,DR Horton Inc,0.1660
A,Agilent Technologies Inc,0.1640
ETR,Entergy Corp,0.1639
ICE,Intercontinental Exchange Inc,0.1627
MET,MetLife Inc,0.1611
TTWO,Take-Two Interactive Software Inc,0.1606
AIG,American International Group Inc,0.1589
TGT,Target Corp,0.1551
KR,Kroger Co/The,0.1541
CCI,Crown Castle Inc,0.1497
EQIX,Equinix Inc,0.1471
IQV,IQVIA Holdings Inc,0.1470
ITW,Illinois Tool Works Inc,0.1470
CDNS,Cadence Design Systems Inc,0.1439
PRU,Prudential Financial Inc,0.1436
WM,Waste Management Inc,0.1428
EQT,EQT Corp,0.1427
CTSH,Cognizant Technology Solutions Corp,0.1427
KDP,Keurig Dr Pepper Inc,0.1425
SNPS,Synopsys Inc,0.1398
VTR,Ventas Inc,0.1378
NUE,Nucor Corp,0.1376
GEHC,GE HealthCare Technologies Inc,0.1375
CL,Colgate-Palmolive Co,0.1370
SYY,Sysco Corp,0.1370
MCO,Moody's Corp,0.1369
BK,Bank of New York Mellon Corp/The,0.1367
KMB,Kimberly-Clark Corp,0.1364
ED,Consolidated Edison Inc,0.1361
WEC,WEC Energy Group Inc,0.1356
ECL,Ecolab Inc,0.1350
WMB,Williams Cos Inc/The,0.1342
CSX,CSX Corp,0.1341
PCG,PG&E Corp,0.1334
AJG,Arthur J Gallagher & Co,0.1313
OTIS,Otis Worldwide Corp,0.1311
FIS,Fidelity National Information Services Inc,0.1291
SHW,Sherwin-Williams Co/The,0.1291
XYL,Xylem Inc/NY,0.1290
HCA,HCA Healthcare Inc,0.1284
KEYS,Keysight Technologies Inc,0.1281
STT,State Street Corp,0.1272
KVUE,Kenvue Inc,0.1253
HOOD,Robinhood Markets Inc,0.1234
COIN,Coinbase Global Inc,0.1185
SNDK,Sandisk Corp/DE,0.1160
VICI,VICI Properties Inc,0.1158
OXY,Occidental Petroleum Corp,0.1137
MNST,Monster Beverage Corp,0.1127
MTB,M&T Bank Corp,0.1117
LEN,Lennar Corp,0.1114
HUM,Humana Inc,0.1111
CSGP,CoStar Group Inc,0.1098
ADM,Archer-Daniels-Midland Co,0.1097
EXE,Expand Energy Corp,0.1092
TER,Teradyne Inc,0.1088
MCHP,Microchip Technology Inc,0.1087
FITB,Fifth Third Bancorp,0.1084
AEE,Ameren Corp,0.1083
HPE,Hewlett Packard Enterprise Co,0.1081
FANG,Diamondback Energy Inc,0.1079
