symbol,name,weight
AAPL,Apple Inc,11.4398
MSFT,Microsoft Corp,10.9207
AMZN,Amazon.com Inc,7.1456
META,Facebook Inc,4.3663
GOOGL,Alphabet Inc,4.1736
GOOG,Alphabet Inc,3.9857
TSLA,Tesla Inc,2.7233
NVDA,NVIDIA Corp,2.6794
PYPL,PayPal Holdings Inc,1.6288
ADBE,Adobe Inc,1.5237
CRM,salesforce.com Inc,1.2303
NFLX,Netflix Inc,1.2123
HD,Home Depot Inc/The,1.1995
V,Visa Inc,1.1170
TMO,Thermo Fisher Scientific Inc,1.0475
MA,Mastercard Inc,0.9892
UNH,UnitedHealth Group Inc,0.9813
JNJ,Johnson & Johnson,0.8759
PG,Procter & Gamble Co/The,0.8038
QCOM,QUALCOMM Inc,0.7948
ABBV,AbbVie Inc,0.7582
INTU,Intuit Inc,0.7430
DHR,Danaher Corp,0.6721
AVGO,Broadcom Inc,0.6631
NKE,NIKE Inc,0.6457
ABT,Abbott Laboratories,0.6363
NOW,ServiceNow Inc,0.6103
LLY,Eli Lilly & Co,0.6024
AMAT,Applied Materials Inc,0.5956
CMCSA,Comcast Corp,0.5880
AMD,Advanced Micro Devices Inc,0.5727
CHTR,Charter Communications Inc,0.5402
SPGI,S&P Global Inc,0.5134
COST,Costco Wholesale Corp,0.5126
LOW,Lowe's Cos Inc,0.4916
UPS,United Parcel Service Inc,0.4758
TXN,Texas Instruments Inc,0.4488
MRK,Merck & Co Inc,0.4453
PEP,PepsiCo Inc,0.4359
ORCL,Oracle Corp,0.4278
DE,Deere & Co,0.4248
ISRG,Intuitive Surgical Inc,0.4193
TGT,Target Corp,0.3874
SBUX,Starbucks Corp,0.3857
BMY,Bristol-Myers Squibb Co,0.3730
KO,Coca-Cola Co/The,0.3673
ZTS,Zoetis Inc,0.3405
MCD,McDonald's Corp,0.3404
NEE,NextEra Energy Inc,0.3403
REGN,Regeneron Pharmaceuticals Inc,0.3387
UNP,Union Pacific Corp,0.3321
ADSK,Autodesk Inc,0.3277
AMT,American Tower Corp,0.3254
