symbol,name,weight
NVDA,NVIDIA Corp,12.4969
MSFT,Microsoft Corp,6.7202
META,Meta Platforms Inc,5.3545
AAPL,Apple Inc,5.2411
AVGO,Broadcom Inc,4.2848
AMZN,Amazon.com Inc,4.2352
GOOGL,Alphabet Inc,3.7829
TSLA,Tesla Inc,3.6612
GOOG,Alphabet Inc,3.0857
V,Visa Inc,2.3766
LLY,Eli Lilly & Co,2.1949
NFLX,Netflix Inc,1.9501
MA,Mastercard Inc,1.8008
COST,Costco Wholesale Corp,1.7436
BRK/B,Berkshire Hathaway Inc,1.7092
JPM,JPMorgan Chase & Co,1.5889
WMT,Walmart Inc,1.0835
PLTR,Palantir Technologies Inc,1.0201
ORCL,Oracle Corp,1.0140
CRM,Salesforce Inc,0.9590
IBM,International Business Machines Corp,0.9045
INTU,Intuit Inc,0.7964
NOW,ServiceNow Inc,0.7865
ISRG,Intuitive Surgical Inc,0.7439
BKNG,Booking Holdings Inc,0.6896
UBER,Uber Technologies Inc,0.6639
PGR,Progressive Corp/The,0.6302
CAT,Caterpillar Inc,0.6281
AXP,American Express Co,0.6163
HD,Home Depot Inc/The,0.6078
BSX,Boston Scientific Corp,0.5858
PM,Philip Morris International Inc,0.5725
ABBV,AbbVie Inc,0.5211
GEV,GE Vernova Inc,0.4928
PANW,Palo Alto Networks Inc,0.4811
CRWD,Crowdstrike Holdings Inc,0.4385
VRTX,Vertex Pharmaceuticals Inc,0.4286
APH,Amphenol Corp,0.4113
GE,General Electric Co,0.4086
RTX,RTX Corp,0.3913
KLAC,KLA Corp,0.3799
NEE,NextEra Energy Inc,0.3675
CEG,Constellation Energy Corp,0.3617
FISV,Fiserv Inc,0.3498
ANET,Arista Networks Inc,0.3380
PH,Parker-Hannifin Corp,0.3232
TJX,TJX Cos Inc/The,0.3178
TDG,TransDigm Group Inc,0.3110
ORLY,O'Reilly Automotive Inc,0.2968
CTAS,Cintas Corp,0.2933
SPGI,S&P Global Inc,0.2867
ADBE,Adobe Inc,0.2866
ADP,Automatic Data Processing Inc,0.2851
MS,Morgan Stanley,0.2692
DASH,DoorDash Inc,0.2673
SYK,Stryker Corp,0.2629
MSI,Motorola Solutions Inc,0.2621
