symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.0228
JPM,JPMorgan Chase & Co,2.8970
DIS,Walt Disney Co/The,2.2101
BAC,Bank of America Corp,1.7063
JNJ,Johnson & Johnson,1.6163
INTC,Intel Corp,1.6084
XOM,Exxon Mobil Corp,1.4846
VZ,Verizon Communications Inc,1.4778
T,AT&T Inc,1.2834
CVX,Chevron Corp,1.2432
CSCO,Cisco Systems Inc/Delaware,1.2243
PFE,Pfizer Inc,1.2021
PG,Procter & Gamble Co/The,1.0287
UNH,UnitedHealth Group Inc,0.9770
WFC,Wells Fargo & Co,0.9657
WMT,Walmart Inc,0.9602
V,Visa Inc,0.9303
HON,Honeywell International Inc,0.9169
C,Citigroup Inc,0.8857
CMCSA,Comcast Corp,0.8704
PM,Philip Morris International Inc,0.8449
KO,Coca-Cola Co/The,0.7953
BA,Boeing Co/The,0.7265
GS,Goldman Sachs Group Inc/The,0.7099
MS,Morgan Stanley,0.7095
RTX,Raytheon Technologies Corp,0.7060
IBM,International Business Machines Corp,0.6843
PEP,PepsiCo Inc,0.6687
MU,Micron Technology Inc,0.6580
MMM,3M Co,0.6521
MA,Mastercard Inc,0.6433
MRK,Merck & Co Inc,0.6170
MCD,McDonald's Corp,0.5950
SCHW,Charles Schwab Corp/The,0.5946
CVS,CVS Health Corp,0.5758
AXP,American Express Co,0.5696
ABT,Abbott Laboratories,0.5621
FIS,Fidelity National Information Services Inc,0.5530
NEE,NextEra Energy Inc,0.5299
MO,Altria Group Inc,0.5232
TJX,TJX Cos Inc/The,0.5116
HD,Home Depot Inc/The,0.5029
GILD,Gilead Sciences Inc,0.4970
TFC,Truist Financial Corp,0.4958
MDLZ,Mondelez International Inc,0.4909
CI,Cigna Corp,0.4896
ELV,Anthem Inc,0.4869
TXN,Texas Instruments Inc,0.4799
PLD,Prologis Inc,0.4729
UNP,Union Pacific Corp,0.4660
CME,CME Group Inc,0.4630
PNC,PNC Financial Services Group Inc/The,0.4607
COP,ConocoPhillips,0.4550
BDX,Becton Dickinson and Co,0.4517
COST,Costco Wholesale Corp,0.4431
USB,US Bancorp,0.4426
BMY,Bristol-Myers Squibb Co,0.4296
AMGN,Amgen Inc,0.4228
GM,General Motors Co,0.4175
LLY,Eli Lilly and Co,0.4098
DUK,Duke Energy Corp,0.4068
CAT,Caterpillar Inc,0.4013
NKE,NIKE Inc,0.3932
AVGO,Broadcom Inc,0.3927
SO,Southern Co/The,0.3869
GPN,Global Payments Inc,0.3828
BKNG,Booking Holdings Inc,0.3812
D,Dominion Energy Inc,0.3599
BSX,Boston Scientific Corp,0.3586
ORCL,Oracle Corp,0.3556
COF,Capital One Financial Corp,0.3550
SBUX,Starbucks Corp,0.3439
ABBV,AbbVie Inc,0.3194
AMT,American Tower Corp,0.3037
F,Ford Motor Co,0.2953
HCA,HCA Healthcare Inc,0.2932
NOC,Northrop Grumman Corp,0.2919
DHR,Danaher Corp,0.2870
MET,MetLife Inc,0.2846
LMT,Lockheed Martin Corp,0.2837
ROST,Ross Stores Inc,0.2682
SYY,Sysco Corp,0.2620
SYK,Stryker Corp,0.2614
HPQ,HP Inc,0.2570
BAX,Baxter International Inc,0.2564
MAR,Marriott International Inc/MD,0.2545
SLB,Schlumberger NV,0.2508
ADP,Automatic Data Processing Inc,0.2505
GD,General Dynamics Corp,0.2455
AIG,American International Group Inc,0.2446
DLR,Digital Realty Trust Inc,0.2439
DD,DuPont de Nemours Inc,0.2436
EXC,Exelon Corp,0.2432
EOG,EOG Resources Inc,0.2431
AEP,American Electric Power Co Inc,0.2400
SPG,Simon Property Group Inc,0.2392
TRV,Travelers Cos Inc/The,0.2381
STZ,Constellation Brands Inc,0.2344
PSX,Phillips 66,0.2344
MPC,Marathon Petroleum Corp,0.2294
NSC,Norfolk Southern Corp,0.2275
BK,Bank of New York Mellon Corp/The,0.2220
PRU,Prudential Financial Inc,0.2217
