symbol,name,weight
AAPL,Apple Inc.,9.2725
JPM,JPMorgan Chase & Co.,3.4410
BAC,Bank of America Corp.,2.2799
T,AT&T Inc.,2.2308
UNH,UnitedHealth Group Inc.,2.1663
BRK/B,Berkshire Hathaway Inc.,1.8347
CVX,Chevron Corp.,1.8161
WFC,Wells Fargo & Co.,1.7835
C,Citigroup Inc.,1.3860
WMT,Walmart Inc.,1.3833
JNJ,Johnson & Johnson,1.2151
PG,Procter & Gamble Co.,1.0977
COST,Costco Wholesale Corp.,1.0769
HD,Home Depot Inc.,1.0651
XOM,Exxon Mobil Corp.,1.0359
DIS,Walt Disney Co.,0.9811
IBM,International Business Machines Corp.,0.9728
CMCSA,Comcast Corp.,0.8831
KO,Coca-Cola Co.,0.8057
CVS,CVS Health Corp.,0.7995
MO,Altria Group Inc.,0.7583
GILD,Gilead Sciences Inc.,0.6955
INTC,Intel Corp.,0.6931
CAT,Caterpillar Inc.,0.6651
MDLZ,Mondelez International Inc.,0.6189
PEP,PepsiCo Inc.,0.6050
ELV,Anthem Inc.,0.6031
CME,CME Group Inc.,0.5929
GS,Goldman Sachs Group Inc.,0.5850
PNC,PNC Financial Services Group Inc.,0.5572
SO,Southern Co.,0.5292
DUK,Duke Energy Corp.,0.5247
HON,Honeywell International Inc.,0.5247
TGT,Target Corp.,0.5217
PM,Philip Morris International Inc.,0.5164
ABBV,AbbVie Inc.,0.5085
MS,Morgan Stanley,0.5076
NVDA,NVIDIA Corp.,0.5067
ORCL,Oracle Corp.,0.5047
PLD,Prologis Inc.,0.4719
NKE,NIKE Inc.,0.4685
NOC,Northrop Grumman Corp.,0.4520
AMAT,Applied Materials Inc.,0.4368
DE,Deere & Co.,0.4322
MU,Micron Technology Inc.,0.4283
PSX,Phillips 66,0.4202
SBUX,Starbucks Corp.,0.4092
SLB,Schlumberger Ltd.,0.4089
LOW,Lowe's Cos. Inc.,0.3993
DD,DuPont de Nemours Inc.,0.3946
MMM,3M Co.,0.3909
AMGN,Amgen Inc.,0.3909
COF,Capital One Financial Corp.,0.3842
QCOM,QUALCOMM Inc.,0.3743
AIG,American International Group Inc.,0.3741
EMR,Emerson Electric Co.,0.3711
GM,General Motors Co.,0.3694
AEP,American Electric Power Co. Inc.,0.3684
BMY,Bristol-Myers Squibb Co.,0.3610
CHTR,Charter Communications Inc.,0.3537
EXC,Exelon Corp.,0.3523
GD,General Dynamics Corp.,0.3473
BKNG,Booking Holdings Inc.,0.3440
BK,Bank of New York Mellon Corp.,0.3431
UPS,United Parcel Service Inc.,0.3415
EOG,EOG Resources Inc.,0.3360
DHR,Danaher Corp.,0.3349
AXP,American Express Co.,0.3337
AFL,Aflac Inc.,0.3316
SRE,Sempra Energy,0.3302
MPC,Marathon Petroleum Corp.,0.3260
MET,MetLife Inc.,0.3245
DOW,Dow Inc.,0.3240
VLO,Valero Energy Corp.,0.3232
LMT,Lockheed Martin Corp.,0.3175
KMI,Kinder Morgan Inc.,0.3118
TXN,Texas Instruments Inc.,0.3117
PRU,Prudential Financial Inc.,0.3074
ALL,Allstate Corp.,0.2994
D,Dominion Energy Inc.,0.2957
TRV,Travelers Cos. Inc.,0.2908
F,Ford Motor Co.,0.2900
CTSH,Cognizant Technology Solutions Corp.,0.2892
DAL,Delta Air Lines Inc.,0.2709
CCI,Crown Castle International Corp.,0.2677
CI,Cigna Corp.,0.2651
GIS,General Mills Inc.,0.2628
NEM,Newmont Goldcorp Corp.,0.2571
ITW,Illinois Tool Works Inc.,0.2515
PEG,Public Service Enterprise Group Inc.,0.2450
HPQ,HP Inc.,0.2431
ED,Consolidated Edison Inc.,0.2357
CMI,Cummins Inc.,0.2357
ESZ9,N/A,0.2352
PCAR,PACCAR Inc.,0.2302
STT,State Street Corp.,0.2285
LUV,Southwest Airlines Co.,0.2277
SCHW,Charles Schwab Corp.,0.2257
WMB,Williams Cos. Inc.,0.2249
SYK,Stryker Corp.,0.2201
MCK,McKesson Corp.,0.2184
TSN,Tyson Foods Inc.,0.2163
ZTS,Zoetis Inc.,0.2115
BDX,Becton Dickinson and Co.,0.2109
FE,FirstEnergy Corp.,0.2103
PH,Parker-Hannifin Corp.,0.2085
BIIB,Biogen Inc.,0.2077
CL,Colgate-Palmolive Co.,0.2044
CNC,Centene Corp.,0.2043
EIX,Edison International,0.2021
PPL,PPL Corp.,0.2008
SWK,Stanley Black & Decker Inc.,0.1955
ADM,Archer-Daniels-Midland Co.,0.1953
BAX,Baxter International Inc.,0.1948
ETR,Entergy Corp.,0.1890
MAR,Marriott International Inc.,0.1880
DTE,DTE Energy Co.,0.1871
SYF,Synchrony Financial,0.1865
GLW,Corning Inc.,0.1852
HIG,Hartford Financial Services Group Inc.,0.1827
FITB,Fifth Third Bancorp,0.1801
