symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.8221
JPM,JPMorgan Chase & Co,2.9697
XOM,Exxon Mobil Corp,2.6827
JNJ,Johnson & Johnson,1.7899
UNH,UnitedHealth Group Inc,1.4400
CVX,Chevron Corp,1.4270
WMT,Walmart Inc,1.4269
BAC,Bank of America Corp,1.3957
PG,Procter & Gamble Co/The,1.1970
WFC,Wells Fargo & Co,1.0931
HD,Home Depot Inc/The,1.0645
COST,Costco Wholesale Corp,1.0564
MRK,Merck & Co Inc,0.9676
DIS,Walt Disney Co/The,0.9663
CSCO,Cisco Systems Inc,0.9578
ABBV,AbbVie Inc,0.9092
ABT,Abbott Laboratories,0.8993
VZ,Verizon Communications Inc,0.8770
DHR,Danaher Corp,0.8561
NEE,NextEra Energy Inc,0.8321
AMGN,Amgen Inc,0.8295
PFE,Pfizer Inc,0.8202
CMCSA,Comcast Corp,0.8026
IBM,International Business Machines Corp,0.7739
PEP,PepsiCo Inc,0.7707
KO,Coca-Cola Co/The,0.7570
GS,Goldman Sachs Group Inc/The,0.7548
V,Visa Inc,0.7429
RTX,RTX Corp,0.7251
MU,Micron Technology Inc,0.6995
TMO,Thermo Fisher Scientific Inc,0.6897
HON,Honeywell International Inc,0.6756
INTC,Intel Corp,0.6612
T,AT&T Inc,0.6604
LOW,Lowe's Cos Inc,0.6451
ELV,Elevance Health Inc,0.6414
MS,Morgan Stanley,0.6202
C,Citigroup Inc,0.6010
TXN,Texas Instruments Inc,0.5665
QCOM,QUALCOMM Inc,0.5542
SCHW,Charles Schwab Corp/The,0.5528
MCD,McDonald's Corp,0.5332
MA,Mastercard Inc,0.5237
GE,General Electric Co,0.5193
PLD,Prologis Inc,0.5174
LMT,Lockheed Martin Corp,0.5119
CI,Cigna Group/The,0.5109
UPS,United Parcel Service Inc,0.5093
PM,Philip Morris International Inc,0.5022
TMUS,T-Mobile US Inc,0.4632
SO,Southern Co/The,0.4431
BMY,Bristol-Myers Squibb Co,0.4237
MO,Altria Group Inc,0.4137
GILD,Gilead Sciences Inc,0.4059
DUK,Duke Energy Corp,0.4048
UNP,Union Pacific Corp,0.3959
SPGI,S&P Global Inc,0.3900
ICE,Intercontinental Exchange Inc,0.3887
CVS,CVS Health Corp,0.3795
MCK,McKesson Corp,0.3795
CAT,Caterpillar Inc,0.3669
TGT,Target Corp,0.3652
GD,General Dynamics Corp,0.3452
PYPL,PayPal Holdings Inc,0.3415
BDX,Becton Dickinson & Co,0.3396
NKE,NIKE Inc,0.3342
SLB,Schlumberger NV,0.3320
NOC,Northrop Grumman Corp,0.3223
USB,US Bancorp,0.3199
PNC,PNC Financial Services Group Inc/The,0.3175
PGR,Progressive Corp/The,0.3133
ADP,Automatic Data Processing Inc,0.3113
PSX,Phillips 66,0.3097
APD,Air Products and Chemicals Inc,0.3004
FDX,FedEx Corp,0.2959
WELL,Welltower Inc,0.2910
BA,Boeing Co/The,0.2890
MMM,3M Co,0.2805
AIG,American International Group Inc,0.2805
AMT,American Tower Corp,0.2729
MDLZ,Mondelez International Inc,0.2714
VLO,Valero Energy Corp,0.2712
COF,Capital One Financial Corp,0.2653
GM,General Motors Co,0.2633
NSC,Norfolk Southern Corp,0.2573
TFC,Truist Financial Corp,0.2552
BSX,Boston Scientific Corp,0.2526
TRV,Travelers Cos Inc/The,0.2495
MRSH,Marsh & McLennan Cos Inc,0.2487
SRE,Sempra,0.2458
NEM,Newmont Corp,0.2451
ISRG,Intuitive Surgical Inc,0.2442
EMR,Emerson Electric Co,0.2422
ADI,Analog Devices Inc,0.2418
AEP,American Electric Power Co Inc,0.2407
F,Ford Motor Co,0.2400
AFL,Aflac Inc,0.2400
MRNA,Moderna Inc,0.2399
CME,CME Group Inc,0.2372
CL,Colgate-Palmolive Co,0.2368
BK,Bank of New York Mellon Corp/The,0.2297
D,Dominion Energy Inc,0.2288
FIS,Fidelity National Information Services Inc,0.2279
KMB,Kimberly-Clark Corp,0.2277
CCI,Crown Castle Inc,0.2254
MET,MetLife Inc,0.2253
O,Realty Income Corp,0.2238
ALL,Allstate Corp/The,0.2230
HUM,Humana Inc,0.2216
PRU,Prudential Financial Inc,0.2204
FISV,Fiserv Inc,0.2189
LHX,L3Harris Technologies Inc,0.2162
COP,ConocoPhillips,0.2156
VRTX,Vertex Pharmaceuticals Inc,0.2144
DE,Deere & Co,0.2123
SYK,Stryker Corp,0.2105
