symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.1847
JNJ,Johnson & Johnson,2.3437
PG,Procter & Gamble Co/The,2.0408
XOM,Exxon Mobil Corp,1.7961
CVX,Chevron Corp,1.5017
DIS,Walt Disney Co/The,1.4596
UNH,UnitedHealth Group Inc,1.4065
KO,Coca-Cola Co/The,1.3089
JPM,JPMorgan Chase & Co,1.2241
VZ,Verizon Communications Inc,1.2021
CMCSA,Comcast Corp,1.1536
WFC,Wells Fargo & Co,1.1512
V,Visa Inc,1.1177
INTC,Intel Corp,1.0494
MRK,Merck & Co Inc,1.0465
WMT,Walmart Inc,1.0399
BAC,Bank of America Corp,0.9643
T,AT&T Inc,0.9153
MA,Mastercard Inc,0.8975
PM,Philip Morris International Inc,0.8513
RTX,Raytheon Technologies Corp,0.8314
NEE,NextEra Energy Inc,0.8309
BMY,Bristol-Myers Squibb Co,0.8246
CVS,CVS Health Corp,0.7402
PEP,PepsiCo Inc,0.7102
HON,Honeywell International Inc,0.7066
CSCO,Cisco Systems Inc/Delaware,0.6998
COP,ConocoPhillips,0.6769
PFE,Pfizer Inc,0.6557
ABBV,AbbVie Inc,0.6501
C,Citigroup Inc,0.6358
BA,Boeing Co/The,0.6139
COST,Costco Wholesale Corp,0.6082
ELV,Anthem Inc,0.5934
LMT,Lockheed Martin Corp,0.5761
GE,General Electric Co,0.5674
AVGO,Broadcom Inc,0.5624
CAT,Caterpillar Inc,0.5488
MCD,McDonald's Corp,0.5443
ABT,Abbott Laboratories,0.5423
MU,Micron Technology Inc,0.5377
MO,Altria Group Inc,0.5096
UNP,Union Pacific Corp,0.5044
MDLZ,Mondelez International Inc,0.4941
BKNG,Booking Holdings Inc,0.4826
UPS,United Parcel Service Inc,0.4731
ADI,Analog Devices Inc,0.4661
IBM,International Business Machines Corp,0.4658
MMM,3M Co,0.4633
CME,CME Group Inc,0.4598
PNC,PNC Financial Services Group Inc/The,0.4555
TFC,Truist Financial Corp,0.4493
CRM,salesforce.com Inc,0.4350
NKE,NIKE Inc,0.4342
TXN,Texas Instruments Inc,0.4331
HD,Home Depot Inc/The,0.4327
TJX,TJX Cos Inc/The,0.4302
CI,Cigna Corp,0.4265
BDX,Becton Dickinson and Co,0.4215
DUK,Duke Energy Corp,0.4178
USB,US Bancorp,0.4128
GILD,Gilead Sciences Inc,0.4099
AMGN,Amgen Inc,0.4073
CSX,CSX Corp,0.4070
CHTR,Charter Communications Inc,0.4029
TMUS,T-Mobile US Inc,0.3914
F,Ford Motor Co,0.3730
SO,Southern Co/The,0.3715
AXP,American Express Co,0.3698
GM,General Motors Co,0.3671
MS,Morgan Stanley,0.3595
NOC,Northrop Grumman Corp,0.3566
CL,Colgate-Palmolive Co,0.3510
D,Dominion Energy Inc,0.3483
BSX,Boston Scientific Corp,0.3405
NSC,Norfolk Southern Corp,0.3378
PGR,Progressive Corp/The,0.3355
PYPL,PayPal Holdings Inc,0.3271
FIS,Fidelity National Information Services Inc,0.3139
FISV,Fiserv Inc,0.3138
SPGI,S&P Global Inc,0.3108
DHR,Danaher Corp,0.3019
HUM,Humana Inc,0.3018
EMR,Emerson Electric Co,0.3004
SLB,Schlumberger NV,0.2977
DE,Deere & Co,0.2965
GD,General Dynamics Corp,0.2939
FDX,FedEx Corp,0.2938
SBUX,Starbucks Corp,0.2872
NEM,Newmont Corp,0.2856
APD,Air Products and Chemicals Inc,0.2829
SYK,Stryker Corp,0.2822
AIG,American International Group Inc,0.2750
AMT,American Tower Corp,0.2740
MET,MetLife Inc,0.2615
CNC,Centene Corp,0.2606
MPC,Marathon Petroleum Corp,0.2593
ROP,Roper Technologies Inc,0.2556
MAR,Marriott International Inc/MD,0.2518
DG,Dollar General Corp,0.2504
SRE,Sempra Energy,0.2494
AEP,American Electric Power Co Inc,0.2473
CTSH,Cognizant Technology Solutions Corp,0.2450
SYY,Sysco Corp,0.2414
ECL,Ecolab Inc,0.2378
TGT,Target Corp,0.2373
ADM,Archer-Daniels-Midland Co,0.2372
KMB,Kimberly-Clark Corp,0.2369
DOW,Dow Inc,0.2358
BAX,Baxter International Inc,0.2303
TRV,Travelers Cos Inc/The,0.2286
PRU,Prudential Financial Inc,0.2285
PLD,Prologis Inc,0.2274
MCK,McKesson Corp,0.2272
EXC,Exelon Corp,0.2254
GIS,General Mills Inc,0.2209
SCHW,Charles Schwab Corp/The,0.2200
ADP,Automatic Data Processing Inc,0.2188
BK,Bank of New York Mellon Corp/The,0.2183
DD,DuPont de Nemours Inc,0.2168
CCI,Crown Castle International Corp,0.2141
CARR,Carrier Global Corp,0.2103
GPN,Global Payments Inc,0.2095
FCX,Freeport-McMoRan Inc,0.2086
DLR,Digital Realty Trust Inc,0.2069
PH,Parker-Hannifin Corp,0.2069
WMB,Williams Cos Inc/The,0.2059
CTVA,Corteva Inc,0.2054
O,Realty Income Corp,0.2026
AFL,Aflac Inc,0.2011
PSX,Phillips 66,0.1995
EA,Electronic Arts Inc,0.1990
ITW,Illinois Tool Works Inc,0.1972
EOG,EOG Resources Inc,0.1964
WELL,Welltower Inc,0.1963
XEL,Xcel Energy Inc,0.1961
STZ,Constellation Brands Inc,0.1918
ALL,Allstate Corp/The,0.1898
EQIX,Equinix Inc,0.1867
VLO,Valero Energy Corp,0.1846
COF,Capital One Financial Corp,0.1835
KMI,Kinder Morgan Inc,0.1834
IFF,International Flavors & Fragrances Inc,0.1833
PEG,Public Service Enterprise Group Inc,0.1773
FITB,Fifth Third Bancorp,0.1769
ROST,Ross Stores Inc,0.1757
ISRG,Intuitive Surgical Inc,0.1737
DLTR,Dollar Tree Inc,0.1730
PCAR,PACCAR Inc,0.1725
PPG,PPG Industries Inc,0.1713
KR,Kroger Co/The,0.1711
MTCH,Match Group Inc/old,0.1709
ZTS,Zoetis Inc,0.1687
STT,State Street Corp,0.1687
ICE,Intercontinental Exchange Inc,0.1680
BIIB,Biogen Inc,0.1678
GLW,Corning Inc,0.1677
MRSH,Marsh & McLennan Cos Inc,0.1654
ED,Consolidated Edison Inc,0.1640
HAL,Halliburton Co,0.1625
AME,AMETEK Inc,0.1624
SHW,Sherwin-Williams Co/The,0.1613
CMI,Cummins Inc,0.1579
EQR,Equity Residential,0.1577
BALL,Ball Corp,0.1575
WEC,WEC Energy Group Inc,0.1551
LHX,L3Harris Technologies Inc,0.1551
EXPE,Expedia Group Inc,0.1549
EL,Estee Lauder Cos Inc/The,0.1524
ES,Eversource Energy,0.1521
KHC,Kraft Heinz Co/The,0.1508
AWK,American Water Works Co Inc,0.1482
TSN,Tyson Foods Inc,0.1477
WM,Waste Management Inc,0.1475
ARE,Alexandria Real Estate Equities Inc,0.1443
ZBH,Zimmer Biomet Holdings Inc,0.1438
SWK,Stanley Black & Decker Inc,0.1434
ILMN,Illumina Inc,0.1411
EW,Edwards Lifesciences Corp,0.1406
LUV,Southwest Airlines Co,0.1403
BKR,Baker Hughes Co,0.1391
DAL,Delta Air Lines Inc,0.1382
HCA,HCA Healthcare Inc,0.1363
HLT,Hilton Worldwide Holdings Inc,0.1327
LEN,Lennar Corp,0.1315
EIX,Edison International,0.1304
CHD,Church & Dwight Co Inc,0.1292
MKC,McCormick & Co Inc/MD,0.1284
NTRS,Northern Trust Corp,0.1281
HIG,Hartford Financial Services Group Inc/The,0.1279
DTE,DTE Energy Co,0.1277
MTB,M&T Bank Corp,0.1267
KEY,KeyCorp,0.1265
VRTX,Vertex Pharmaceuticals Inc,0.1263
FTV,Fortive Corp,0.1259
OXY,Occidental Petroleum Corp,0.1237
FE,FirstEnergy Corp,0.1234
HBAN,Huntington Bancshares Inc/OH,0.1212
CFG,Citizens Financial Group Inc,0.1211
AEE,Ameren Corp,0.1200
PSA,Public Storage,0.1199
VTR,Ventas Inc,0.1165
BBY,Best Buy Co Inc,0.1159
APH,Amphenol Corp,0.1155
COR,AmerisourceBergen Corp,0.1153
ETR,Entergy Corp,0.1146
HPE,Hewlett Packard Enterprise Co,0.1128
GWW,WW Grainger Inc,0.1120
IR,Ingersoll Rand Inc,0.1116
MCHP,Microchip Technology Inc,0.1097
TDY,Teledyne Technologies Inc,0.1083
OTIS,Otis Worldwide Corp,0.1083
HPQ,HP Inc,0.1070
PPL,PPL Corp,0.1062
TDG,TransDigm Group Inc,0.1059
MOS,Mosaic Co/The,0.1049
AVB,AvalonBay Communities Inc,0.1045
CTRA,Coterra Energy Inc,0.1030
YUM,Yum! Brands Inc,0.1029
VFC,VF Corp,0.1022
DRI,Darden Restaurants Inc,0.1019
CMS,CMS Energy Corp,0.1002
AJG,Arthur J Gallagher & Co,0.0991
SPG,Simon Property Group Inc,0.0976
PAYX,Paychex Inc,0.0970
CLX,Clorox Co/The,0.0969
OMC,Omnicom Group Inc,0.0964
CTAS,Cintas Corp,0.0963
MCO,Moody's Corp,0.0957
PFG,Principal Financial Group Inc,0.0941
ADSK,Autodesk Inc,0.0941
BXP,Boston Properties Inc,0.0940
GPC,Genuine Parts Co,0.0938
NUE,Nucor Corp,0.0938
WAB,Westinghouse Air Brake Technologies Corp,0.0938
MGM,MGM Resorts International,0.0931
