symbol,name,weight
MSFT,Microsoft Corp,12.5189
AAPL,Apple Inc,11.3257
NVDA,NVIDIA Corp,10.9902
AMZN,Amazon.com Inc,6.5457
META,Meta Platforms Inc,4.1683
GOOGL,Alphabet Inc,4.1258
GOOG,Alphabet Inc,3.4833
LLY,Eli Lilly & Co,2.6549
AVGO,Broadcom Inc,2.3728
TSLA,Tesla Inc,2.0026
V,Visa Inc,1.1542
NFLX,Netflix Inc,1.1269
AMD,Advanced Micro Devices Inc,1.0945
MA,Mastercard Inc,1.0778
CRM,Salesforce Inc,0.9210
ADBE,Adobe Inc,0.8159
ORCL,Oracle Corp,0.7583
AMAT,Applied Materials Inc,0.7263
UNH,UnitedHealth Group Inc,0.7066
INTU,Intuit Inc,0.6549
PG,Procter & Gamble Co/The,0.6128
COST,Costco Wholesale Corp,0.6125
NOW,ServiceNow Inc,0.5465
UBER,Uber Technologies Inc,0.5392
BKNG,Booking Holdings Inc,0.5349
MRK,Merck & Co Inc,0.5164
HD,Home Depot Inc/The,0.5005
QCOM,QUALCOMM Inc,0.4806
ABBV,AbbVie Inc,0.4275
KLAC,KLA Corp,0.4168
CAT,Caterpillar Inc,0.4057
AXP,American Express Co,0.3899
KO,Coca-Cola Co/The,0.3875
COP,ConocoPhillips,0.3842
ISRG,Intuitive Surgical Inc,0.3795
PANW,Palo Alto Networks Inc,0.3774
CMG,Chipotle Mexican Grill Inc,0.3483
PEP,PepsiCo Inc,0.3472
SNPS,Synopsys Inc,0.3472
TMO,Thermo Fisher Scientific Inc,0.3384
MCD,McDonald's Corp,0.3354
CDNS,Cadence Design Systems Inc,0.3161
GE,General Electric Co,0.3136
TJX,TJX Cos Inc/The,0.3100
VRTX,Vertex Pharmaceuticals Inc,0.3048
TDG,TransDigm Group Inc,0.3031
SYK,Stryker Corp,0.2996
ADI,Analog Devices Inc,0.2784
TXN,Texas Instruments Inc,0.2663
UNP,Union Pacific Corp,0.2593
BX,Blackstone Inc,0.2533
REGN,Regeneron Pharmaceuticals Inc,0.2521
PGR,Progressive Corp/The,0.2508
BSX,Boston Scientific Corp,0.2471
SPGI,S&P Global Inc,0.2453
PM,Philip Morris International Inc,0.2364
MAR,Marriott International Inc/MD,0.2315
SBUX,Starbucks Corp,0.2175
PH,Parker-Hannifin Corp,0.2160
MRSH,Marsh & McLennan Cos Inc,0.2156
HLT,Hilton Worldwide Holdings Inc,0.2053
NKE,NIKE Inc,0.2019
EOG,EOG Resources Inc,0.1946
ROST,Ross Stores Inc,0.1910
FISV,Fiserv Inc,0.1897
CPRT,Copart Inc,0.1882
URI,United Rentals Inc,0.1826
BA,Boeing Co/The,0.1819
DE,Deere & Co,0.1808
APH,Amphenol Corp,0.1805
DHI,DR Horton Inc,0.1792
ZTS,Zoetis Inc,0.1739
ORLY,O'Reilly Automotive Inc,0.1687
PCAR,PACCAR Inc,0.1667
ADP,Automatic Data Processing Inc,0.1594
MDLZ,Mondelez International Inc,0.1574
FTNT,Fortinet Inc,0.1535
FCX,Freeport-McMoRan Inc,0.1535
AMT,American Tower Corp,0.1520
WM,Waste Management Inc,0.1474
LULU,Lululemon Athletica Inc,0.1454
MPC,Marathon Petroleum Corp,0.1451
SHW,Sherwin-Williams Co/The,0.1451
FANG,Diamondback Energy Inc,0.1447
MPWR,Monolithic Power Systems Inc,0.1434
MSI,Motorola Solutions Inc,0.1426
EQIX,Equinix Inc,0.1366
CSX,CSX Corp,0.1354
VST,Vistra Corp,0.1352
AZO,AutoZone Inc,0.1342
IT,Gartner Inc,0.1329
