symbol,name,weight
MSFT,Microsoft Corp,4.8924
BRK/B,Berkshire Hathaway Inc,3.4449
AMZN,Amazon.com Inc,2.8294
JPM,JPMorgan Chase & Co,2.6344
META,Meta Platforms Inc,2.4645
BAC,Bank of America Corp,1.4998
WMT,Walmart Inc,1.2568
CSCO,Cisco Systems Inc,1.2454
DIS,Walt Disney Co/The,1.1376
WFC,Wells Fargo & Co,1.1165
CRM,Salesforce Inc,1.0249
VZ,Verizon Communications Inc,1.0211
CMCSA,Comcast Corp,1.0045
JNJ,Johnson & Johnson,0.9539
NKE,NIKE Inc,0.9375
PG,Procter & Gamble Co/The,0.9189
RTX,Raytheon Technologies Corp,0.9034
NFLX,Netflix Inc,0.8981
HD,Home Depot Inc/The,0.8940
NEE,NextEra Energy Inc,0.8842
UPS,United Parcel Service Inc,0.8342
HON,Honeywell International Inc,0.8063
MS,Morgan Stanley,0.7970
GS,Goldman Sachs Group Inc/The,0.7460
T,AT&T Inc,0.7343
IBM,International Business Machines Corp,0.7324
PLD,Prologis Inc,0.7137
SPGI,S&P Global Inc,0.7117
BA,Boeing Co/The,0.7074
CVS,CVS Health Corp,0.6877
INTC,Intel Corp,0.6445
C,Citigroup Inc,0.6151
BKNG,Booking Holdings Inc,0.6133
AVGO,Broadcom Inc,0.6031
GE,General Electric Co,0.5798
SYK,Stryker Corp,0.5546
ABT,Abbott Laboratories,0.5333
PYPL,PayPal Holdings Inc,0.5256
KO,Coca-Cola Co/The,0.5079
ADBE,Adobe Inc,0.4999
ZTS,Zoetis Inc,0.4875
TGT,Target Corp,0.4859
MCD,McDonald's Corp,0.4603
COST,Costco Wholesale Corp,0.4564
DUK,Duke Energy Corp,0.4549
PM,Philip Morris International Inc,0.4347
SO,Southern Co/The,0.4302
BDX,Becton Dickinson and Co,0.4190
CME,CME Group Inc,0.4178
USB,US Bancorp,0.4044
UNP,Union Pacific Corp,0.3993
EQIX,Equinix Inc,0.3990
PNC,PNC Financial Services Group Inc/The,0.3989
MU,Micron Technology Inc,0.3938
TFC,Truist Financial Corp,0.3904
MMM,3M Co,0.3732
AMD,Advanced Micro Devices Inc,0.3652
TXN,Texas Instruments Inc,0.3609
SBUX,Starbucks Corp,0.3598
ICE,Intercontinental Exchange Inc,0.3564
CCI,Crown Castle Inc,0.3548
EL,Estee Lauder Cos Inc/The,0.3523
ORCL,Oracle Corp,0.3452
GM,General Motors Co,0.3450
INTU,Intuit Inc,0.3381
AXP,American Express Co,0.3321
SHW,Sherwin-Williams Co/The,0.3272
NSC,Norfolk Southern Corp,0.3263
VLO,Valero Energy Corp,0.3179
ADI,Analog Devices Inc,0.3132
CAT,Caterpillar Inc,0.3126
EW,Edwards Lifesciences Corp,0.3113
EMR,Emerson Electric Co,0.3061
SCHW,Charles Schwab Corp/The,0.3051
FDX,FedEx Corp,0.3050
PSX,Phillips 66,0.3035
F,Ford Motor Co,0.2984
MET,MetLife Inc,0.2964
D,Dominion Energy Inc,0.2901
ROP,Roper Technologies Inc,0.2857
CI,Cigna Group/The,0.2852
AIG,American International Group Inc,0.2842
AEP,American Electric Power Co Inc,0.2830
PH,Parker-Hannifin Corp,0.2829
AMT,American Tower Corp,0.2713
COF,Capital One Financial Corp,0.2609
ISRG,Intuitive Surgical Inc,0.2588
MDLZ,Mondelez International Inc,0.2565
DOW,Dow Inc,0.2521
EXC,Exelon Corp,0.2513
O,Realty Income Corp,0.2512
MO,Altria Group Inc,0.2501
SPG,Simon Property Group Inc,0.2499
LOW,Lowe's Cos Inc,0.2479
CHTR,Charter Communications Inc,0.2476
