symbol,name,weight
AAPL,Apple Inc,10.5467
MSFT,Microsoft Corp,8.9272
AMZN,Amazon.com Inc,7.4326
META,Facebook Inc,3.6695
GOOGL,Alphabet Inc,2.8901
GOOG,Alphabet Inc,2.8635
V,Visa Inc,1.9544
NVDA,NVIDIA Corp,1.8226
MA,Mastercard Inc,1.6381
PYPL,PayPal Holdings Inc,1.3844
ADBE,Adobe Inc,1.2647
CRM,salesforce.com Inc,1.2326
NFLX,Netflix Inc,1.1925
HD,Home Depot Inc/The,1.1684
PG,Procter & Gamble Co/The,1.1050
TMO,Thermo Fisher Scientific Inc,1.0136
JPM,JPMorgan Chase & Co,0.9502
QCOM,QUALCOMM Inc,0.9150
DIS,Walt Disney Co/The,0.8991
AVGO,Broadcom Inc,0.8900
JNJ,Johnson & Johnson,0.8816
CMCSA,Comcast Corp,0.7067
INTC,Intel Corp,0.6459
SBUX,Starbucks Corp,0.6314
NKE,NIKE Inc,0.6191
MRK,Merck & Co Inc,0.6163
ABT,Abbott Laboratories,0.6124
AMD,Advanced Micro Devices Inc,0.5996
AMT,American Tower Corp,0.5651
NOW,ServiceNow Inc,0.5650
COST,Costco Wholesale Corp,0.5624
ABBV,AbbVie Inc,0.5390
CHTR,Charter Communications Inc,0.5374
PEP,PepsiCo Inc,0.5283
INTU,Intuit Inc,0.5079
TXN,Texas Instruments Inc,0.5046
DHR,Danaher Corp,0.5002
LMT,Lockheed Martin Corp,0.4948
UNP,Union Pacific Corp,0.4733
ISRG,Intuitive Surgical Inc,0.4683
SPGI,S&P Global Inc,0.4672
BKNG,Booking Holdings Inc,0.4578
KO,Coca-Cola Co/The,0.4397
LOW,Lowe's Cos Inc,0.4283
BMY,Bristol-Myers Squibb Co,0.4263
AMGN,Amgen Inc,0.4228
NEE,NextEra Energy Inc,0.4209
ZTS,Zoetis Inc,0.4199
TJX,TJX Cos Inc/The,0.4196
AMAT,Applied Materials Inc,0.4151
MU,Micron Technology Inc,0.3924
MCD,McDonald's Corp,0.3923
ORCL,Oracle Corp,0.3689
HON,Honeywell International Inc,0.3628
FISV,Fiserv Inc,0.3528
LLY,Eli Lilly and Co,0.3505
APD,Air Products and Chemicals Inc,0.3410
EQIX,Equinix Inc,0.3405
ADSK,Autodesk Inc,0.3386
SHW,Sherwin-Williams Co/The,0.3376
VRTX,Vertex Pharmaceuticals Inc,0.3269
RTX,Raytheon Technologies Corp,0.3200
TGT,Target Corp,0.3170
CAT,Caterpillar Inc,0.3056
EL,Estee Lauder Cos Inc/The,0.3050
UPS,United Parcel Service Inc,0.3000
DG,Dollar General Corp,0.2999
SCHW,Charles Schwab Corp/The,0.2905
EW,Edwards Lifesciences Corp,0.2875
PM,Philip Morris International Inc,0.2860
ADI,Analog Devices Inc,0.2831
SYK,Stryker Corp,0.2774
BA,Boeing Co/The,0.2711
DE,Deere & Co,0.2666
NOC,Northrop Grumman Corp,0.2582
AXP,American Express Co,0.2557
ADP,Automatic Data Processing Inc,0.2555
MCO,Moody's Corp,0.2511
ROP,Roper Technologies Inc,0.2463
COP,ConocoPhillips,0.2338
PLD,Prologis Inc,0.2322
LHX,L3Harris Technologies Inc,0.2287
CCI,Crown Castle International Corp,0.2248
DOW,Dow Inc,0.2165
IDXX,IDEXX Laboratories Inc,0.2160
KLAC,KLA Corp,0.2159
APH,Amphenol Corp,0.2151
ROST,Ross Stores Inc,0.2108
ITW,Illinois Tool Works Inc,0.2042
REGN,Regeneron Pharmaceuticals Inc,0.1991
CMG,Chipotle Mexican Grill Inc,0.1988
MRSH,Marsh & McLennan Cos Inc,0.1952
SNPS,Synopsys Inc,0.1902
ALGN,Align Technology Inc,0.1902
CSX,CSX Corp,0.1898
MSCI,MSCI Inc,0.1887
MCHP,Microchip Technology Inc,0.1870
MAR,Marriott International Inc/MD,0.1859
ESZ0,N/A,0.1855
EBAY,eBay Inc,0.1848
CL,Colgate-Palmolive Co,0.1821
ORLY,O'Reilly Automotive Inc,0.1806
NSC,Norfolk Southern Corp,0.1799
ICE,Intercontinental Exchange Inc,0.1795
CDNS,Cadence Design Systems Inc,0.1787
SBAC,SBA Communications Corp,0.1771
CME,CME Group Inc,0.1764
YUM,Yum! Brands Inc,0.1757
TDG,TransDigm Group Inc,0.1730
PGR,Progressive Corp/The,0.1714
CTAS,Cintas Corp,0.1702
DXCM,DexCom Inc,0.1687
RMD,ResMed Inc,0.1672
PCAR,PACCAR Inc,0.1660
MSI,Motorola Solutions Inc,0.1605
MO,Altria Group Inc,0.1591
HLT,Hilton Worldwide Holdings Inc,0.1584
GPN,Global Payments Inc,0.1577
ILMN,Illumina Inc,0.1555
ECL,Ecolab Inc,0.1551
BSX,Boston Scientific Corp,0.1542
AME,AMETEK Inc,0.1500
WM,Waste Management Inc,0.1480
AZO,AutoZone Inc,0.1464
EMR,Emerson Electric Co,0.1366
DHI,DR Horton Inc,0.1359
NQZ0,N/A,0.1338
TROW,T Rowe Price Group Inc,0.1327
