symbol,name,weight
AAPL,Apple Inc,7.9832
MSFT,Microsoft Corp,5.7296
AMZN,Amazon.com Inc,3.3744
XOM,Exxon Mobil Corp,1.9786
BRK/B,Berkshire Hathaway Inc,1.9425
UNH,UnitedHealth Group Inc,1.7677
PG,Procter & Gamble Co/The,1.6557
JNJ,Johnson & Johnson,1.6066
JPM,JPMorgan Chase & Co,1.2956
BAC,Bank of America Corp,1.2445
KO,Coca-Cola Co/The,1.1165
CVX,Chevron Corp,1.0720
WFC,Wells Fargo & Co,1.0546
CSCO,Cisco Systems Inc,1.0334
ABT,Abbott Laboratories,0.9680
MRK,Merck & Co Inc,0.9437
MCD,McDonald's Corp,0.8936
HD,Home Depot Inc/The,0.8922
ABBV,AbbVie Inc,0.8665
PEP,PepsiCo Inc,0.8516
DIS,Walt Disney Co/The,0.8335
TMO,Thermo Fisher Scientific Inc,0.8181
T,AT&T Inc,0.7955
GS,Goldman Sachs Group Inc/The,0.7902
VZ,Verizon Communications Inc,0.7339
TXN,Texas Instruments Inc,0.7232
QCOM,QUALCOMM Inc,0.7063
AMD,Advanced Micro Devices Inc,0.6555
C,Citigroup Inc,0.6116
PFE,Pfizer Inc,0.6059
UNP,Union Pacific Corp,0.6050
GILD,Gilead Sciences Inc,0.5761
BLK,BlackRock Funding Inc/DE,0.5760
WMT,Walmart Inc,0.5711
LOW,Lowe's Cos Inc,0.5706
HON,Honeywell International Inc,0.5600
CMCSA,Comcast Corp,0.5536
SCHW,Charles Schwab Corp/The,0.5483
DHR,Danaher Corp,0.5403
GE,General Electric Co,0.5346
SBUX,Starbucks Corp,0.5307
BA,Boeing Co/The,0.5277
COP,ConocoPhillips,0.5190
BMY,Bristol-Myers Squibb Co,0.4890
BX,Blackstone Inc,0.4704
PLD,Prologis Inc,0.4644
ADI,Analog Devices Inc,0.4618
ADBE,Adobe Inc,0.4530
PM,Philip Morris International Inc,0.4490
MU,Micron Technology Inc,0.4198
INTC,Intel Corp,0.4139
LRCX,Lam Research Corp,0.3992
SO,Southern Co/The,0.3978
AMT,American Tower Corp,0.3887
LMT,Lockheed Martin Corp,0.3841
NKE,NIKE Inc,0.3826
AMGN,Amgen Inc,0.3817
ELV,Elevance Health Inc,0.3722
CME,CME Group Inc,0.3698
DUK,Duke Energy Corp,0.3672
MS,Morgan Stanley,0.3671
SPGI,S&P Global Inc,0.3634
UPS,United Parcel Service Inc,0.3523
CI,Cigna Group/The,0.3475
MDLZ,Mondelez International Inc,0.3475
MMM,3M Co,0.3415
CVS,CVS Health Corp,0.3346
MCK,McKesson Corp,0.3288
COF,Capital One Financial Corp,0.3097
PNC,PNC Financial Services Group Inc/The,0.3081
RTX,RTX Corp,0.3080
AMAT,Applied Materials Inc,0.3059
ZTS,Zoetis Inc,0.3052
REGN,Regeneron Pharmaceuticals Inc,0.2975
USB,US Bancorp,0.2960
EOG,EOG Resources Inc,0.2888
APD,Air Products and Chemicals Inc,0.2844
DE,Deere & Co,0.2772
MRSH,Marsh & McLennan Cos Inc,0.2648
GD,General Dynamics Corp,0.2638
