symbol,name,weight
AAPL,Apple Inc,13.8778
MSFT,Microsoft Corp,7.4638
NVDA,NVIDIA Corp,4.8996
GOOGL,Alphabet Inc,3.8523
GOOG,Alphabet Inc,3.3724
TSLA,Tesla Inc,2.8874
AMZN,Amazon.com Inc,2.6032
UNH,UnitedHealth Group Inc,2.3966
XOM,Exxon Mobil Corp,2.2151
V,Visa Inc,1.8908
LLY,Eli Lilly & Co,1.7830
MA,Mastercard Inc,1.6213
MRK,Merck & Co Inc,1.4737
CVX,Chevron Corp,1.4105
JNJ,Johnson & Johnson,1.3232
PEP,PepsiCo Inc,1.3221
ABBV,AbbVie Inc,1.2844
PFE,Pfizer Inc,1.1235
AVGO,Broadcom Inc,1.0665
TMO,Thermo Fisher Scientific Inc,1.0498
PG,Procter & Gamble Co/The,0.9734
HD,Home Depot Inc/The,0.8060
KO,Coca-Cola Co/The,0.7946
DHR,Danaher Corp,0.7923
COST,Costco Wholesale Corp,0.7887
BMY,Bristol-Myers Squibb Co,0.7213
MCD,McDonald's Corp,0.6816
QCOM,QUALCOMM Inc,0.6657
COP,ConocoPhillips,0.6398
AMGN,Amgen Inc,0.6203
AMAT,Applied Materials Inc,0.5916
NOW,ServiceNow Inc,0.5822
ELV,Elevance Health Inc,0.5630
AMD,Advanced Micro Devices Inc,0.5418
TXN,Texas Instruments Inc,0.5226
ORCL,Oracle Corp,0.5057
GILD,Gilead Sciences Inc,0.5051
ABT,Abbott Laboratories,0.4868
ADBE,Adobe Inc,0.4732
ADP,Automatic Data Processing Inc,0.4559
LOW,Lowe's Cos Inc,0.4418
VRTX,Vertex Pharmaceuticals Inc,0.4379
DE,Deere & Co,0.4316
REGN,Regeneron Pharmaceuticals Inc,0.4163
PM,Philip Morris International Inc,0.3967
PGR,Progressive Corp/The,0.3939
LMT,Lockheed Martin Corp,0.3770
SNPS,Synopsys Inc,0.3650
CAT,Caterpillar Inc,0.3382
CDNS,Cadence Design Systems Inc,0.3334
EOG,EOG Resources Inc,0.3318
INTU,Intuit Inc,0.3285
KLAC,KLA Corp,0.3229
APD,Air Products and Chemicals Inc,0.3147
UNP,Union Pacific Corp,0.3101
CMG,Chipotle Mexican Grill Inc,0.3020
SBUX,Starbucks Corp,0.3013
TJX,TJX Cos Inc/The,0.2990
ORLY,O'Reilly Automotive Inc,0.2965
TMUS,T-Mobile US Inc,0.2910
MRSH,Marsh & McLennan Cos Inc,0.2888
MDLZ,Mondelez International Inc,0.2844
ISRG,Intuitive Surgical Inc,0.2783
FISV,Fiserv Inc,0.2588
FCX,Freeport-McMoRan Inc,0.2584
SCHW,Charles Schwab Corp/The,0.2496
AXP,American Express Co,0.2435
AMT,American Tower Corp,0.2396
DXCM,Dexcom Inc,0.2385
NOC,Northrop Grumman Corp,0.2375
DG,Dollar General Corp,0.2367
APH,Amphenol Corp,0.2361
AZO,AutoZone Inc,0.2358
MNST,Monster Beverage Corp,0.2351
FTNT,Fortinet Inc,0.2332
ADI,Analog Devices Inc,0.2228
MRNA,Moderna Inc,0.2221
OXY,Occidental Petroleum Corp,0.2207
MO,Altria Group Inc,0.2171
HUM,Humana Inc,0.2113
BSX,Boston Scientific Corp,0.2057
HSY,Hershey Co/The,0.2009
CPRT,Copart Inc,0.1977
CI,Cigna Group/The,0.1906
ON,ON Semiconductor Corp,0.1901
WM,Waste Management Inc,0.1868
WMB,Williams Cos Inc/The,0.1838
CL,Colgate-Palmolive Co,0.1799
GIS,General Mills Inc,0.1776
NUE,Nucor Corp,0.1759
CSGP,CoStar Group Inc,0.1700
SLB,Schlumberger NV,0.1697
AMP,Ameriprise Financial Inc,0.1655
ITW,Illinois Tool Works Inc,0.1631
CSX,CSX Corp,0.1629
HCA,HCA Healthcare Inc,0.1593
DVN,Devon Energy Corp,0.1586
GWW,WW Grainger Inc,0.1537
ODFL,Old Dominion Freight Line Inc,0.1481
DLTR,Dollar Tree Inc,0.1476
PSA,Public Storage,0.1462
PCG,PG&E Corp,0.1436
AJG,Arthur J Gallagher & Co,0.1432
