symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.8611
JPM,JPMorgan Chase & Co,2.7883
XOM,Exxon Mobil Corp,2.1701
JNJ,Johnson & Johnson,2.0139
UNH,UnitedHealth Group Inc,1.4673
CVX,Chevron Corp,1.3832
WMT,Walmart Inc,1.3001
HD,Home Depot Inc/The,1.2430
BAC,Bank of America Corp,1.2319
PG,Procter & Gamble Co/The,1.1846
ABT,Abbott Laboratories,1.0676
DIS,Walt Disney Co/The,1.0583
WFC,Wells Fargo & Co,1.0464
CSCO,Cisco Systems Inc,1.0155
ABBV,AbbVie Inc,1.0151
MRK,Merck & Co Inc,1.0022
COST,Costco Wholesale Corp,0.9901
INTC,Intel Corp,0.9407
CMCSA,Comcast Corp,0.8919
IBM,International Business Machines Corp,0.8758
VZ,Verizon Communications Inc,0.8722
DHR,Danaher Corp,0.8630
V,Visa Inc,0.7938
PFE,Pfizer Inc,0.7775
AMGN,Amgen Inc,0.7597
PEP,PepsiCo Inc,0.7542
KO,Coca-Cola Co/The,0.7385
LOW,Lowe's Cos Inc,0.7199
TMO,Thermo Fisher Scientific Inc,0.7081
HON,Honeywell International Inc,0.6791
RTX,RTX Corp,0.6683
GS,Goldman Sachs Group Inc/The,0.6577
PLD,Prologis Inc,0.6384
T,AT&T Inc,0.6275
MCD,McDonald's Corp,0.6153
ELV,Elevance Health Inc,0.6105
NEE,NextEra Energy Inc,0.5870
MA,Mastercard Inc,0.5706
MS,Morgan Stanley,0.5637
UPS,United Parcel Service Inc,0.5560
C,Citigroup Inc,0.5505
BMY,Bristol-Myers Squibb Co,0.5354
MU,Micron Technology Inc,0.5159
SCHW,Charles Schwab Corp/The,0.5152
CI,Cigna Group/The,0.5100
GE,General Electric Co,0.5047
TXN,Texas Instruments Inc,0.4965
CVS,CVS Health Corp,0.4952
LMT,Lockheed Martin Corp,0.4903
GILD,Gilead Sciences Inc,0.4657
PM,Philip Morris International Inc,0.4563
UNP,Union Pacific Corp,0.4411
QCOM,QUALCOMM Inc,0.4368
TMUS,T-Mobile US Inc,0.4308
ICE,Intercontinental Exchange Inc,0.4105
SPGI,S&P Global Inc,0.4031
SO,Southern Co/The,0.3804
NKE,NIKE Inc,0.3757
MO,Altria Group Inc,0.3749
CAT,Caterpillar Inc,0.3708
DUK,Duke Energy Corp,0.3667
TGT,Target Corp,0.3661
MCK,McKesson Corp,0.3596
SLB,Schlumberger NV,0.3578
BDX,Becton Dickinson & Co,0.3540
NOC,Northrop Grumman Corp,0.3387
USB,US Bancorp,0.3385
PYPL,PayPal Holdings Inc,0.3375
BA,Boeing Co/The,0.3362
ADP,Automatic Data Processing Inc,0.3265
PSX,Phillips 66,0.3252
GD,General Dynamics Corp,0.3208
PNC,PNC Financial Services Group Inc/The,0.3039
MDLZ,Mondelez International Inc,0.2990
FDX,FedEx Corp,0.2986
