symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.7890
UNH,UnitedHealth Group Inc,2.6691
VZ,Verizon Communications Inc,2.0874
JNJ,Johnson & Johnson,1.8449
BAC,Bank of America Corp,1.7929
PFE,Pfizer Inc,1.7777
T,AT&T Inc,1.7105
JPM,JPMorgan Chase & Co,1.5600
CSCO,Cisco Systems Inc,1.5208
WMT,Walmart Inc,1.4910
CVX,Chevron Corp,1.4015
XOM,Exxon Mobil Corp,1.3463
PG,Procter & Gamble Co/The,1.2125
KO,Coca-Cola Co/The,0.9994
C,Citigroup Inc,0.9574
WFC,Wells Fargo & Co,0.9410
IBM,International Business Machines Corp,0.9186
DIS,Walt Disney Co/The,0.8709
PEP,PepsiCo Inc,0.8671
CMCSA,Comcast Corp,0.8414
MMM,3M Co,0.8308
FIS,Fidelity National Information Services Inc,0.7679
MRK,Merck & Co Inc,0.7640
MCD,McDonald's Corp,0.7566
CVS,CVS Health Corp,0.7408
INTC,Intel Corp,0.7383
MS,Morgan Stanley,0.7372
ABBV,AbbVie Inc,0.7244
HD,Home Depot Inc/The,0.7231
MDLZ,Mondelez International Inc,0.6852
ABT,Abbott Laboratories,0.6720
GS,Goldman Sachs Group Inc/The,0.6625
ELV,Anthem Inc,0.6543
TMUS,T-Mobile US Inc,0.6458
HON,Honeywell International Inc,0.6453
CI,Cigna Corp,0.6413
GILD,Gilead Sciences Inc,0.6352
COST,Costco Wholesale Corp,0.5922
FDX,FedEx Corp,0.5768
DUK,Duke Energy Corp,0.5691
BDX,Becton Dickinson and Co,0.5684
NEE,NextEra Energy Inc,0.5657
UPS,United Parcel Service Inc,0.5555
PM,Philip Morris International Inc,0.5516
D,Dominion Energy Inc,0.5507
BMY,Bristol-Myers Squibb Co,0.5285
SO,Southern Co/The,0.5278
BA,Boeing Co/The,0.5228
TFC,Truist Financial Corp,0.5224
USB,US Bancorp,0.4946
PNC,PNC Financial Services Group Inc/The,0.4894
TXN,Texas Instruments Inc,0.4685
NKE,NIKE Inc,0.4621
GM,General Motors Co,0.4610
AMGN,Amgen Inc,0.4453
HUM,Humana Inc,0.4425
UNP,Union Pacific Corp,0.4396
LLY,Eli Lilly and Co,0.4345
RTX,Raytheon Technologies Corp,0.4300
DHR,Danaher Corp,0.4264
NEM,Newmont Corp,0.3945
DD,DuPont de Nemours Inc,0.3888
MO,Altria Group Inc,0.3770
ORCL,Oracle Corp,0.3727
CTSH,Cognizant Technology Solutions Corp,0.3538
AEP,American Electric Power Co Inc,0.3517
CL,Colgate-Palmolive Co,0.3372
LOW,Lowe's Cos Inc,0.3343
EXC,Exelon Corp,0.3342
HCA,HCA Healthcare Inc,0.3305
COF,Capital One Financial Corp,0.3266
CAT,Caterpillar Inc,0.3219
BIIB,Biogen Inc,0.3175
GIS,General Mills Inc,0.3102
DLR,Digital Realty Trust Inc,0.3026
CNC,Centene Corp,0.2983
MET,MetLife Inc,0.2974
F,Ford Motor Co,0.2963
XEL,Xcel Energy Inc,0.2955
GD,General Dynamics Corp,0.2898
STZ,Constellation Brands Inc,0.2888
CSX,CSX Corp,0.2876
DE,Deere & Co,0.2807
AIG,American International Group Inc,0.2765
TRV,Travelers Cos Inc/The,0.2741
TGT,Target Corp,0.2702
ALL,Allstate Corp/The,0.2669
BK,Bank of New York Mellon Corp/The,0.2662
PLD,Prologis Inc,0.2653
AXP,American Express Co,0.2583
ZBH,Zimmer Biomet Holdings Inc,0.2578
CME,CME Group Inc,0.2568
HPQ,HP Inc,0.2515
ES,Eversource Energy,0.2504
WEC,WEC Energy Group Inc,0.2501
PRU,Prudential Financial Inc,0.2494
GPN,Global Payments Inc,0.2487
CCI,Crown Castle International Corp,0.2466
