symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.4261
UNH,UnitedHealth Group Inc,2.7259
VZ,Verizon Communications Inc,2.2397
JNJ,Johnson & Johnson,2.1431
T,AT&T Inc,2.1276
PFE,Pfizer Inc,1.9947
CSCO,Cisco Systems Inc,1.9146
BAC,Bank of America Corp,1.8429
XOM,Exxon Mobil Corp,1.8157
CVX,Chevron Corp,1.6365
JPM,JPMorgan Chase & Co,1.4979
WMT,Walmart Inc,1.3664
PG,Procter & Gamble Co/The,1.1459
INTC,Intel Corp,1.1110
IBM,International Business Machines Corp,1.0440
KO,Coca-Cola Co/The,1.0193
C,Citigroup Inc,0.9872
WFC,Wells Fargo & Co,0.9615
GILD,Gilead Sciences Inc,0.9293
PEP,PepsiCo Inc,0.9003
MRK,Merck & Co Inc,0.8728
MMM,3M Co,0.8491
FIS,Fidelity National Information Services Inc,0.8053
CVS,CVS Health Corp,0.8051
DIS,Walt Disney Co/The,0.7781
CMCSA,Comcast Corp,0.7466
HD,Home Depot Inc/The,0.7418
MCD,McDonald's Corp,0.7416
ABBV,AbbVie Inc,0.7247
MDLZ,Mondelez International Inc,0.7083
ELV,Anthem Inc,0.7039
CI,Cigna Corp,0.6954
BDX,Becton Dickinson and Co,0.6869
ABT,Abbott Laboratories,0.6650
D,Dominion Energy Inc,0.6604
PM,Philip Morris International Inc,0.6033
BMY,Bristol-Myers Squibb Co,0.5946
GS,Goldman Sachs Group Inc/The,0.5910
DUK,Duke Energy Corp,0.5892
SO,Southern Co/The,0.5649
NEE,NextEra Energy Inc,0.5541
LLY,Eli Lilly and Co,0.5489
HON,Honeywell International Inc,0.5311
AMGN,Amgen Inc,0.5281
COST,Costco Wholesale Corp,0.5273
BIIB,Biogen Inc,0.5229
HUM,Humana Inc,0.5132
MS,Morgan Stanley,0.4858
USB,US Bancorp,0.4770
PNC,PNC Financial Services Group Inc/The,0.4716
TFC,Truist Financial Corp,0.4655
NEM,Newmont Corp,0.4524
ORCL,Oracle Corp,0.4398
UNP,Union Pacific Corp,0.4229
RTX,Raytheon Technologies Corp,0.4201
MO,Altria Group Inc,0.4200
BA,Boeing Co/The,0.4121
TXN,Texas Instruments Inc,0.3981
AEP,American Electric Power Co Inc,0.3974
NKE,NIKE Inc,0.3825
CNC,Centene Corp,0.3650
UPS,United Parcel Service Inc,0.3627
GIS,General Mills Inc,0.3596
TMUS,T-Mobile US Inc,0.3587
DHR,Danaher Corp,0.3562
DLR,Digital Realty Trust Inc,0.3554
DD,DuPont de Nemours Inc,0.3547
EXC,Exelon Corp,0.3515
GD,General Dynamics Corp,0.3248
XEL,Xcel Energy Inc,0.3219
CL,Colgate-Palmolive Co,0.3218
LOW,Lowe's Cos Inc,0.3206
GM,General Motors Co,0.3071
CME,CME Group Inc,0.3026
ALL,Allstate Corp/The,0.2991
COF,Capital One Financial Corp,0.2991
FDX,FedEx Corp,0.2958
BK,Bank of New York Mellon Corp/The,0.2944
KMI,Kinder Morgan Inc,0.2904
CCI,Crown Castle International Corp,0.2837
PLD,Prologis Inc,0.2741
CTSH,Cognizant Technology Solutions Corp,0.2739
WEC,WEC Energy Group Inc,0.2731
STZ,Constellation Brands Inc,0.2730
HCA,HCA Healthcare Inc,0.2669
MET,MetLife Inc,0.2657
CSX,CSX Corp,0.2627
TRV,Travelers Cos Inc/The,0.2606
GPN,Global Payments Inc,0.2597
VLO,Valero Energy Corp,0.2583
CAT,Caterpillar Inc,0.2569
ES,Eversource Energy,0.2558
AFL,Aflac Inc,0.2526
KR,Kroger Co/The,0.2469
AIG,American International Group Inc,0.2468
ECL,Ecolab Inc,0.2465
ZBH,Zimmer Biomet Holdings Inc,0.2453
CLX,Clorox Co/The,0.2443
PEG,Public Service Enterprise Group Inc,0.2436
MCK,McKesson Corp,0.2419
SLB,Schlumberger Ltd,0.2413
AXP,American Express Co,0.2408
BAX,Baxter International Inc,0.2386
ED,Consolidated Edison Inc,0.2355
WMB,Williams Cos Inc/The,0.2337
KMB,Kimberly-Clark Corp,0.2334
PRU,Prudential Financial Inc,0.2313
ICE,Intercontinental Exchange Inc,0.2300
ADP,Automatic Data Processing Inc,0.2273
DLTR,Dollar Tree Inc,0.2186
FE,FirstEnergy Corp,0.2155
MPC,Marathon Petroleum Corp,0.2153
HPQ,HP Inc,0.2118
TGT,Target Corp,0.2106
F,Ford Motor Co,0.2099
STT,State Street Corp,0.2092
ADM,Archer-Daniels-Midland Co,0.2065
AVB,AvalonBay Communities Inc,0.2056
BSX,Boston Scientific Corp,0.2049
PPL,PPL Corp,0.2025
SYK,Stryker Corp,0.2022
NSC,Norfolk Southern Corp,0.2018
ILMN,Illumina Inc,0.2015
EQR,Equity Residential,0.1995
MRSH,Marsh & McLennan Cos Inc,0.1968
EIX,Edison International,0.1967
DTE,DTE Energy Co,0.1950
WELL,Welltower Inc,0.1940
CTVA,Corteva Inc,0.1929
REGN,Regeneron Pharmaceuticals Inc,0.1924
ETR,Entergy Corp,0.1913
ITW,Illinois Tool Works Inc,0.1857
DE,Deere & Co,0.1853
SRE,Sempra Energy,0.1848
SWK,Stanley Black & Decker Inc,0.1800
KHC,Kraft Heinz Co/The,0.1791
AEE,Ameren Corp,0.1735
FTV,Fortive Corp,0.1701
BBY,Best Buy Co Inc,0.1678
PGR,Progressive Corp/The,0.1672
WM,Waste Management Inc,0.1652
PSX,Phillips 66,0.1641
EMR,Emerson Electric Co,0.1614
PSA,Public Storage,0.1610
CAG,Conagra Brands Inc,0.1598
LUV,Southwest Airlines Co,0.1596
EA,Electronic Arts Inc,0.1591
