symbol,name,weight
BRK/B,Berkshire Hathaway Inc,3.8059
UNH,UnitedHealth Group Inc,2.6615
VZ,Verizon Communications Inc,2.2021
JNJ,Johnson & Johnson,2.1048
T,AT&T Inc,1.9071
PFE,Pfizer Inc,1.8848
BAC,Bank of America Corp,1.8046
CSCO,Cisco Systems Inc,1.6077
XOM,Exxon Mobil Corp,1.5163
WMT,Walmart Inc,1.4558
JPM,JPMorgan Chase & Co,1.4253
CVX,Chevron Corp,1.4070
PG,Procter & Gamble Co/The,1.2914
KO,Coca-Cola Co/The,1.0315
IBM,International Business Machines Corp,0.9831
C,Citigroup Inc,0.9556
PEP,PepsiCo Inc,0.9074
MRK,Merck & Co Inc,0.8697
MMM,3M Co,0.8419
FIS,Fidelity National Information Services Inc,0.8368
DIS,Walt Disney Co/The,0.8340
INTC,Intel Corp,0.8329
WFC,Wells Fargo & Co,0.8090
CMCSA,Comcast Corp,0.8063
HD,Home Depot Inc/The,0.7983
MCD,McDonald's Corp,0.7982
GILD,Gilead Sciences Inc,0.7516
MDLZ,Mondelez International Inc,0.7487
ABT,Abbott Laboratories,0.7302
CVS,CVS Health Corp,0.7291
ABBV,AbbVie Inc,0.7123
BDX,Becton Dickinson and Co,0.6428
ELV,Anthem Inc,0.6373
PM,Philip Morris International Inc,0.6247
TMUS,T-Mobile US Inc,0.6100
D,Dominion Energy Inc,0.5911
CI,Cigna Corp,0.5876
NEE,NextEra Energy Inc,0.5766
GS,Goldman Sachs Group Inc/The,0.5694
UPS,United Parcel Service Inc,0.5689
BMY,Bristol-Myers Squibb Co,0.5687
COST,Costco Wholesale Corp,0.5651
HON,Honeywell International Inc,0.5634
MS,Morgan Stanley,0.5619
AMGN,Amgen Inc,0.5486
DUK,Duke Energy Corp,0.5301
LLY,Eli Lilly and Co,0.5050
SO,Southern Co/The,0.4948
HUM,Humana Inc,0.4928
NEM,Newmont Corp,0.4849
FDX,FedEx Corp,0.4744
TFC,Truist Financial Corp,0.4696
BA,Boeing Co/The,0.4632
USB,US Bancorp,0.4480
UNP,Union Pacific Corp,0.4455
MO,Altria Group Inc,0.4452
TXN,Texas Instruments Inc,0.4451
ORCL,Oracle Corp,0.4277
PNC,PNC Financial Services Group Inc/The,0.4236
BIIB,Biogen Inc,0.4215
DHR,Danaher Corp,0.4199
NKE,NIKE Inc,0.4112
LOW,Lowe's Cos Inc,0.3796
RTX,Raytheon Technologies Corp,0.3786
DLR,Digital Realty Trust Inc,0.3750
DD,DuPont de Nemours Inc,0.3674
AEP,American Electric Power Co Inc,0.3508
GIS,General Mills Inc,0.3481
CL,Colgate-Palmolive Co,0.3353
GM,General Motors Co,0.3351
XEL,Xcel Energy Inc,0.3275
CTSH,Cognizant Technology Solutions Corp,0.3245
EXC,Exelon Corp,0.3230
HCA,HCA Healthcare Inc,0.3209
CNC,Centene Corp,0.3189
GD,General Dynamics Corp,0.3116
PLD,Prologis Inc,0.2905
CAT,Caterpillar Inc,0.2836
COF,Capital One Financial Corp,0.2822
STZ,Constellation Brands Inc,0.2782
CME,CME Group Inc,0.2775
BK,Bank of New York Mellon Corp/The,0.2676
WEC,WEC Energy Group Inc,0.2665
MET,MetLife Inc,0.2664
TRV,Travelers Cos Inc/The,0.2634
CSX,CSX Corp,0.2628
ALL,Allstate Corp/The,0.2623
ZBH,Zimmer Biomet Holdings Inc,0.2616
ES,Eversource Energy,0.2589
CCI,Crown Castle International Corp,0.2566
KR,Kroger Co/The,0.2519
CLX,Clorox Co/The,0.2511
HPQ,HP Inc,0.2510
KMB,Kimberly-Clark Corp,0.2460
TGT,Target Corp,0.2444
DE,Deere & Co,0.2419
GPN,Global Payments Inc,0.2419
KMI,Kinder Morgan Inc,0.2414
AXP,American Express Co,0.2409
PRU,Prudential Financial Inc,0.2404
F,Ford Motor Co,0.2392
PEG,Public Service Enterprise Group Inc,0.2372
SLB,Schlumberger NV,0.2370
ICE,Intercontinental Exchange Inc,0.2349
AFL,Aflac Inc,0.2340
BBY,Best Buy Co Inc,0.2264
WMB,Williams Cos Inc/The,0.2262
AIG,American International Group Inc,0.2254
NSC,Norfolk Southern Corp,0.2249
ADM,Archer-Daniels-Midland Co,0.2233
